Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'VWAP_signal', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'Close']
Model Class Weight: {0: 1.1, -1: 1.1, 1: 1}
--------------------------------------------------
Highest % gain: ('SMCI.csv', {'final_portfolio_value': 39854.461192829855, 'Percent gain': 298.54461192829854, 'total_trades': 101})
Lowest % gain: ('EL.csv', {'final_portfolio_value': 3720.4434468680456, 'Percent gain': -62.79556553131954, 'total_trades': 120})
Number of stocks with a positive gain 265
Number of stocks with a negative gain 235
Sum of the Top 100 portfolios: 1,644,583.18
Sum of the Bottom 100 portfolios: 686,890.19
--------------------------------------------------
ORCL.csv: {'final_portfolio_value': 15113.067334609008, 'Percent gain': 51.13067334609008, 'total_trades': 97}
ISRG.csv: {'final_portfolio_value': 15103.96108547222, 'Percent gain': 51.0396108547222, 'total_trades': 86}
NUE.csv: {'final_portfolio_value': 14942.91614369534, 'Percent gain': 49.4291614369534, 'total_trades': 71}
PHM.csv: {'final_portfolio_value': 14818.680309863712, 'Percent gain': 48.18680309863712, 'total_trades': 82}
LLY.csv: {'final_portfolio_value': 14693.949553831248, 'Percent gain': 46.93949553831248, 'total_trades': 116}
CAH.csv: {'final_portfolio_value': 14676.231519090357, 'Percent gain': 46.76231519090357, 'total_trades': 90}
BRK-B.csv: {'final_portfolio_value': 14611.382207321016, 'Percent gain': 46.11382207321016, 'total_trades': 81}
URI.csv: {'final_portfolio_value': 14434.350144754082, 'Percent gain': 44.34350144754082, 'total_trades': 112}
NRG.csv: {'final_portfolio_value': 14422.815493007647, 'Percent gain': 44.22815493007647, 'total_trades': 107}
ULTA.csv: {'final_portfolio_value': 14365.623479541879, 'Percent gain': 43.65623479541879, 'total_trades': 117}
XOM.csv: {'final_portfolio_value': 14357.461937090378, 'Percent gain': 43.57461937090378, 'total_trades': 105}
ROST.csv: {'final_portfolio_value': 14320.555593113817, 'Percent gain': 43.20555593113817, 'total_trades': 109}
UNH.csv: {'final_portfolio_value': 14313.322261679494, 'Percent gain': 43.13322261679494, 'total_trades': 82}
ORLY.csv: {'final_portfolio_value': 14228.439378926474, 'Percent gain': 42.28439378926474, 'total_trades': 100}
CMI.csv: {'final_portfolio_value': 14228.068637175724, 'Percent gain': 42.280686371757234, 'total_trades': 86}
SLB.csv: {'final_portfolio_value': 14178.549987747381, 'Percent gain': 41.78549987747381, 'total_trades': 132}
COR.csv: {'final_portfolio_value': 14156.484466328142, 'Percent gain': 41.56484466328142, 'total_trades': 89}
