Date,share_amount,bs_signal,cash_earned,holding,bankroll,cumulative_percentage,close
2017-11-19,2.539603807127178,1,-914.4499999999999,2.539603807127178,0,0,354.3859863
2017-12-29,2.539603807127178,-1,1894.3059361213657,0.0,1894.3059361213657,107.15248905039813,753.59198
2018-01-08,1.4996930962139061,1,-1741.0047680620855,1.4996930962139061,153.30116805928014,-83.23569707919731,1148.530029
2018-01-13,1.4996930962139061,-1,2073.7804919045116,0.0,2227.081659963792,143.54329487274234,1396.420044
2018-01-17,1.8583005663903054,1,-1904.1552562086738,1.8583005663903054,322.92640375511814,-64.68627002513881,1014.25
2018-02-10,1.8583005663903054,-1,1580.9650927433615,0.0,1903.8914964984797,108.20072136240142,860.414978
2018-03-31,3.629696724518685,1,-1456.1637702375583,3.629696724518685,447.7277262609214,-51.038577695782,396.4570007
2018-05-06,3.629696724518685,-1,2851.5193047535236,0.0,3299.247031014445,260.79031450756685,792.3109741
2018-06-26,5.980663429250871,1,-2611.1550112055897,5.980663429250871,688.0920198088552,-24.753456196746107,432.7720032
2018-07-19,5.980663429250871,-1,2784.6399416773365,0.0,3472.7319614861917,279.76181983555057,469.618988
2018-09-07,11.637821589675927,1,-2550.3586454745227,11.637821589675927,922.373316011669,0.8664569972846021,217.2030029
2018-09-22,11.637821589675927,-1,2774.7199694134206,0.0,3697.0932854250896,304.29693098858223,240.4799957
2018-10-21,12.27830955207367,1,-2541.340942044662,12.27830955207367,1155.7523433804276,26.387702266983187,205.1419983
2018-11-10,12.27830955207367,-1,2586.5482928519255,0.0,3742.300636232353,309.2405966681998,212.5330048
2018-12-05,22.918552736822573,1,-2370.2843777734333,22.918552736822573,1372.0162584589198,50.03731843828748,102.4755554
2018-12-30,22.918552736822573,-1,3179.3993293103076,0.0,4551.415587769227,397.7216455540738,139.8594513
2019-01-26,24.764956802613394,1,-2909.212782272535,24.764956802613394,1642.2028054966922,79.58366291177127,116.488739
2019-02-21,24.764956802613394,-1,3590.879421457603,0.0,5233.082226954295,472.2655396089776,146.1308441
2019-03-11,24.336348779395415,1,-3283.2667956868354,24.336348779395415,1949.8154312674596,113.22274933210781,133.8340302
2019-04-25,24.336348779395415,-1,3730.2328543300664,0.0,5680.048285597526,521.1436694841191,154.4593964
