Date,share_amount,bs_signal,cash_earned,holding,bankroll,cumulative_percentage,close
2019-08-04,2,1,-457.51614423499996,1,839.2830571980005,121.73124606883039,222.6697235
2019-08-07,2,-1,440.568102935,-1,1279.8511601330006,238.1254870869857,226.3910065
2019-09-07,2,1,-368.25786418999996,1,911.5932959430006,140.83497895483924,178.262619
2019-10-08,2,-1,352.272905793,-1,1263.8662017360007,233.9024008310111,182.0215607
2019-11-25,2,1,-304.36782931999994,1,959.4983724160007,153.49108133684527,146.476532
2019-12-02,2,-1,286.677725017,-1,1246.1760974330007,229.22882993433754,149.0591583
2019-12-28,2,1,-267.87864328099994,1,978.2974541520007,158.4576343758037,128.3227081
2020-02-12,2,-1,518.208194521,-1,1496.5056486730007,295.3637088029831,265.4061279
2020-03-01,2,1,-450.08089856299995,1,1046.4247501100008,176.45627034791488,218.9705963
2020-03-08,2,-1,389.421222236,-1,1435.8459723460007,279.3379526498424,200.6890564
2020-03-10,2,1,-413.4921572239999,1,1022.3538151220008,170.09693977027888,200.7672424
2020-03-27,2,-1,256.586505575,-1,1278.9403206970007,237.88485127123698,133.9379425
2020-04-01,2,1,-282.57544952,1,996.3648711770007,163.23088799487843,135.634552
2020-04-07,2,-1,318.60286856,-1,1314.9677397370008,247.40298040284716,165.101944
2020-04-08,2,1,-356.95989518899995,1,958.0078445480008,153.09729690543386,172.6417389
2020-04-30,2,-1,403.178081092,-1,1361.1859256400007,259.61342104432356,207.6020508
2020-05-25,2,1,-422.64269327899996,1,938.5432323610007,147.95491653988827,205.3197479
2020-06-16,2,-1,456.538174718,-1,1395.0814070790007,268.56831090074934,234.4161682
2020-06-28,2,1,-462.89780767999997,1,932.1835993990007,146.27475711201603,225.347168
2020-07-29,2,-1,623.2498661249999,-1,1555.4334655240007,310.93192282378106,318.1908875
2020-07-31,2,1,-704.51486057,1,850.9186049540007,124.80525605926753,345.554657
2020-08-20,2,-1,818.7651797119998,-1,1669.6837846660005,341.1158582789928,416.4397888
2020-08-30,2,1,-871.025400014,1,798.6583846520006,110.99856275357827,428.3957214
2020-09-02,2,-1,865.730588632,-1,1664.3889732840007,339.7170154030865,440.0404968
2020-09-09,2,1,-715.681131959,1,948.7078413250007,150.64031736153078,351.1100159
2020-10-13,2,-1,748.6196231459999,-1,1697.3274644710004,348.41907680166145,381.1907654
2020-10-26,2,1,-801.6654944569999,1,895.6619700140005,136.6260619280149,393.8883057
2020-11-25,2,-1,1125.716424545,-1,2021.3783945590008,434.03049943428186,570.6866455
2020-12-08,2,1,-1125.1537951879998,1,896.224599371001,136.77470368520596,554.8277588
2021-01-03,2,-1,1931.310303896,-1,2827.534903267001,647.0100010092228,975.5076904
2021-01-13,2,1,-2282.7361537999996,1,544.7987494670015,43.93106656930923,1130.73938
2021-01-21,2,-1,2221.9761367700003,-1,2766.7748862370017,630.9577357196033,1121.570923
2021-01-22,2,1,-2495.3395360699997,1,271.43535016700207,-28.289153577587484,1236.512207
2021-03-08,2,-1,3641.15853095,-1,3912.593881117002,933.6730965566081,1834.727905
2021-03-09,2,1,-3764.7281442799995,1,147.86573683700271,-60.935165080999,1868.048828
2021-03-17,2,-1,3618.71418859,-1,3766.5799254270028,895.0974860269838,1823.449341
2021-03-25,2,1,-3216.6220985299997,1,549.9578268970031,45.29404972178572,1595.359253
2021-04-11,2,-1,4283.78739418,-1,4833.7452210770025,1177.0332271771388,2157.656982
2021-04-26,2,1,-5104.25819489,1,-270.5129738129972,-171.46716265379132,2534.481689
2021-04-28,2,-1,5455.34645273,-1,5184.833478917003,1269.7876754212102,2746.380127
2021-04-29,2,1,-5551.272675529999,1,-366.43919661299606,-196.81003205846,2756.876953
2021-05-10,2,-1,7855.11495055,-1,7488.675753937004,1878.4426625618835,3952.293945
2021-05-22,2,1,-4624.318187659999,1,2864.3575662770045,656.7382266450877,2295.705566
2021-05-26,2,-1,5738.5604727,-1,8602.918038977004,2172.8157327264753,2888.69873
2021-06-06,2,1,-5467.286473729999,1,3135.6315652470057,728.406445491906,2715.092773
2021-06-12,2,-1,4711.29390625,-1,7846.925471497006,1973.0891058531195,2372.484375
2021-07-01,2,1,-4258.29699269,1,3588.628478807006,848.0842696151884,2113.605469
2021-07-09,2,-1,4261.96784217,-1,7850.596320977006,1974.0589121924124,2146.692383
2021-07-17,2,1,-3826.5886419499993,1,4024.007679027007,963.1076479013259,1898.825195
2021-09-11,2,-1,6497.9033712400005,-1,10521.911050267008,2679.7969090310116,3270.278076
2021-09-23,2,1,-6352.5526008199995,1,4169.358449447009,1001.5080506806808,3155.523682
2021-09-29,2,-1,5667.80518889,-1,9837.16363833701,2498.892629375303,2853.143311
2021-10-12,2,1,-7030.022216419999,1,2807.141421917011,641.6222215316872,3492.573242
2021-11-02,2,-1,9113.799667719999,-1,11920.94108963701,3049.4084140611344,4584.798828
2021-11-25,2,1,-8602.18375964,1,3318.75732999701,776.7866715158738,4274.743164
2021-12-03,2,-1,8389.25504945,-1,11708.01237944701,2993.1545104116535,4220.706055
2021-12-15,2,1,-8086.911230719999,1,3621.10114872701,856.6632651075824,4018.388672
2021-12-27,2,-1,8024.76973793,-1,11645.870886657009,2976.737271304141,4037.547607
2021-12-28,2,1,-7649.745062659999,1,3996.1258239970093,955.7415055665195,3800.893066
2021-12-30,2,-1,7380.61558149,-1,11376.74140548701,2905.6356153110974,3713.852051
2022-01-04,2,1,-7636.00384841,1,3740.73755707701,888.2701582423102,3794.056641
2022-01-14,2,-1,6576.95291535,-1,10317.69047242701,2625.843617815368,3310.001465
2022-02-03,2,1,-5395.066821979999,1,4922.623650447011,1200.5141311747077,2679.162598
2022-02-04,2,-1,5927.38795886,-1,10850.01160930701,2766.478208227853,2983.586914
2022-02-05,2,1,-6069.392867929999,1,4780.618741377011,1162.9976757119905,3014.648193
2022-02-15,2,-1,6318.005622029999,-1,11098.62436340701,2832.159524301641,3179.877197
2022-02-25,2,1,-5566.6666464499995,1,5531.957716957011,1361.4948642905626,2764.535645
2022-03-30,2,-1,6726.51433841,-1,12258.472055367012,3138.5811442577747,3385.157959
2022-06-20,2,1,-2276.5113365599996,1,9981.960718807013,2537.1467521106415,1127.642456
2022-06-26,2,-1,2377.71501335,-1,12359.675732157013,3165.318270867135,1199.831665
2022-07-11,2,1,-2215.3955097199996,1,10144.280222437013,2580.0301458506665,1097.236572
2022-07-28,2,-1,3423.7315986,-1,13568.011821037013,3484.5501013675466,1725.46814
2022-07-30,2,1,-3418.8486588199994,1,10149.163162217013,2581.3201758502155,1695.969482
2022-08-16,2,-1,3727.54741396,-1,13876.710576177014,3566.1056135991507,1878.139404
2022-08-27,2,1,-3007.6539901999995,1,10869.056585977014,2771.509724558577,1491.39502
2022-09-07,2,-1,3233.56368028,-1,14102.620266257014,3625.7889786460923,1629.906372
2022-09-16,2,1,-2889.1699855399997,1,11213.450280717014,2862.4955277605272,1432.447754
2022-09-24,2,-1,2612.85663914,-1,13826.306919857014,3552.789408266029,1317.993286
2022-10-05,2,1,-2729.1526875799996,1,11097.154232277015,2831.7711285100863,1352.837158
2022-11-13,2,-1,2421.4702358600002,-1,13518.624468137015,3471.5023945127023,1221.819214
2022-11-29,2,1,-2455.9215024499995,1,11062.702965687016,2822.6694050758583,1216.901245
