Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Parameters: {'learning_rate': 0.5, 'max_iter': 300, 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': 15, 'warm_start': False, 'random_state': 63, 'verbose': 0, 'tol': 1e-06}
--------------------------------------------------
Highest % gain: ('SMCI', {'final_portfolio_value': 76459.20660643035, 'Portfolio cumulative percent gain': 664.5920660643036, 'Stock percent gain': 1858.3561629258563, 'total_trades': 68, 'winning_trades': 47, 'losing_trades': 20, 'sharpe_ratio': 1.7790703284015563})
Lowest % gain: ('MTCH', {'final_portfolio_value': 2509.132849942746, 'Portfolio cumulative percent gain': -74.90867150057255, 'Stock percent gain': -68.4947816674355, 'total_trades': 47, 'winning_trades': 20, 'losing_trades': 26, 'sharpe_ratio': -1.511239122555197})
Number of stocks with a positive gain 305
Number of stocks with a negative gain 176
Win/Loss Ratio: 1.26
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
BKNG: {'final_portfolio_value': 18835.43718213509, 'Portfolio cumulative percent gain': 88.35437182135091, 'Stock percent gain': 62.01811886231073, 'total_trades': 95, 'winning_trades': 57, 'losing_trades': 38, 'sharpe_ratio': 0.8802774354525925}
HST: {'final_portfolio_value': 13172.290533699188, 'Portfolio cumulative percent gain': 31.72290533699188, 'Stock percent gain': 6.853394347269056, 'total_trades': 67, 'winning_trades': 45, 'losing_trades': 21, 'sharpe_ratio': 0.9101310872257427}
MOS: {'final_portfolio_value': 9800.575720256187, 'Portfolio cumulative percent gain': -1.994242797438128, 'Stock percent gain': -26.100077819055965, 'total_trades': 62, 'winning_trades': 36, 'losing_trades': 25, 'sharpe_ratio': -0.06053339339277155}
HCA: {'final_portfolio_value': 18766.946757114758, 'Portfolio cumulative percent gain': 87.66946757114758, 'Stock percent gain': 63.81211140521281, 'total_trades': 37, 'winning_trades': 26, 'losing_trades': 10, 'sharpe_ratio': 5.125398127229218}
L: {'final_portfolio_value': 15612.459291245119, 'Portfolio cumulative percent gain': 56.12459291245119, 'Stock percent gain': 32.58618210272798, 'total_trades': 11, 'winning_trades': 8, 'losing_trades': 2, 'sharpe_ratio': 1.8682494287264644}
OXY: {'final_portfolio_value': 18642.779049354624, 'Portfolio cumulative percent gain': 86.42779049354624, 'Stock percent gain': 62.9225434699835, 'total_trades': 43, 'winning_trades': 30, 'losing_trades': 12, 'sharpe_ratio': 0.8689240059318551}
CMI: {'final_portfolio_value': 15435.105116433295, 'Portfolio cumulative percent gain': 54.35105116433295, 'Stock percent gain': 32.24579969026709, 'total_trades': 15, 'winning_trades': 10, 'losing_trades': 4, 'sharpe_ratio': 1.7492141567686754}
XEL: {'final_portfolio_value': 10174.954345030592, 'Portfolio cumulative percent gain': 1.7495434503059186, 'Stock percent gain': -20.18899684817721, 'total_trades': 27, 'winning_trades': 17, 'losing_trades': 10, 'sharpe_ratio': -0.10936999124186629}
BBY: {'final_portfolio_value': 11215.134551758709, 'Portfolio cumulative percent gain': 12.151345517587089, 'Stock percent gain': -8.889799630719795, 'total_trades': 20, 'winning_trades': 13, 'losing_trades': 6, 'sharpe_ratio': 0.9444840115665621}
EQR: {'final_portfolio_value': 10004.483512174444, 'Portfolio cumulative percent gain': 0.04483512174443604, 'Stock percent gain': -20.080997408803906, 'total_trades': 56, 'winning_trades': 35, 'losing_trades': 21, 'sharpe_ratio': 0.029693568783617053}
ABT: {'final_portfolio_value': 10259.658707095352, 'Portfolio cumulative percent gain': 2.5965870709535195, 'Stock percent gain': -17.25568210348527, 'total_trades': 28, 'winning_trades': 15, 'losing_trades': 12, 'sharpe_ratio': 0.012460528005569434}
CMS: {'final_portfolio_value': 11596.182813700445, 'Portfolio cumulative percent gain': 15.961828137004451, 'Stock percent gain': -3.759400877416236, 'total_trades': 14, 'winning_trades': 8, 'losing_trades': 5, 'sharpe_ratio': 0.5927191141987975}
EQT: {'final_portfolio_value': 18818.89985244088, 'Portfolio cumulative percent gain': 88.18899852440882, 'Stock percent gain': 68.73225732642041, 'total_trades': 25, 'winning_trades': 16, 'losing_trades': 8, 'sharpe_ratio': 0.8778006975040341}
BAX: {'final_portfolio_value': 6070.711466064479, 'Portfolio cumulative percent gain': -39.29288533935521, 'Stock percent gain': -58.54144655787645, 'total_trades': 51, 'winning_trades': 27, 'losing_trades': 24, 'sharpe_ratio': -0.9974493066379866}
FMC: {'final_portfolio_value': 7247.346307355684, 'Portfolio cumulative percent gain': -27.52653692644316, 'Stock percent gain': -46.62672825123307, 'total_trades': 41, 'winning_trades': 17, 'losing_trades': 23, 'sharpe_ratio': -0.43808669783265386}
CRL: {'final_portfolio_value': 8975.60781365454, 'Portfolio cumulative percent gain': -10.243921863454597, 'Stock percent gain': -29.25123944161362, 'total_trades': 40, 'winning_trades': 24, 'losing_trades': 15, 'sharpe_ratio': -0.17021126081011512}
CPB: {'final_portfolio_value': 12311.358622600852, 'Portfolio cumulative percent gain': 23.11358622600852, 'Stock percent gain': 4.522840218881809, 'total_trades': 36, 'winning_trades': 27, 'losing_trades': 8, 'sharpe_ratio': 0.3982469493532598}
CTLT: {'final_portfolio_value': 13460.905703023094, 'Portfolio cumulative percent gain': 34.60905703023094, 'Stock percent gain': 16.088516186948457, 'total_trades': 32, 'winning_trades': 13, 'losing_trades': 18, 'sharpe_ratio': 0.9959343047274447}
ODFL: {'final_portfolio_value': 15136.58832147038, 'Portfolio cumulative percent gain': 51.36588321470381, 'Stock percent gain': 33.09482712008218, 'total_trades': 39, 'winning_trades': 26, 'losing_trades': 12, 'sharpe_ratio': 0.6137507484322703}
MRO: {'final_portfolio_value': 16077.74619969571, 'Portfolio cumulative percent gain': 60.7774619969571, 'Stock percent gain': 42.5403249452935, 'total_trades': 39, 'winning_trades': 26, 'losing_trades': 12, 'sharpe_ratio': 0.5854964196277699}
TSCO: {'final_portfolio_value': 14389.972350500439, 'Portfolio cumulative percent gain': 43.89972350500438, 'Stock percent gain': 26.17761645551476, 'total_trades': 38, 'winning_trades': 23, 'losing_trades': 14, 'sharpe_ratio': 0.8184208790608591}
DLTR: {'final_portfolio_value': 10103.833236882703, 'Portfolio cumulative percent gain': 1.038332368827032, 'Stock percent gain': -16.561604404183445, 'total_trades': 16, 'winning_trades': 9, 'losing_trades': 6, 'sharpe_ratio': 0.06633292163842422}
PPG: {'final_portfolio_value': 10043.03385782766, 'Portfolio cumulative percent gain': 0.4303385782766054, 'Stock percent gain': -17.089715430436712, 'total_trades': 18, 'winning_trades': 12, 'losing_trades': 5, 'sharpe_ratio': -0.012487205734469865}
DOC: {'final_portfolio_value': 7712.801834372089, 'Portfolio cumulative percent gain': -22.87198165627911, 'Stock percent gain': -39.868342717044975, 'total_trades': 18, 'winning_trades': 11, 'losing_trades': 6, 'sharpe_ratio': -0.9292197857379446}
NTRS: {'final_portfolio_value': 9188.579825537534, 'Portfolio cumulative percent gain': -8.11420174462466, 'Stock percent gain': -24.645451530978814, 'total_trades': 26, 'winning_trades': 16, 'losing_trades': 9, 'sharpe_ratio': -0.5652046227707394}
EXC: {'final_portfolio_value': 10492.318860815169, 'Portfolio cumulative percent gain': 4.923188608151686, 'Stock percent gain': -11.350948548544743, 'total_trades': 39, 'winning_trades': 23, 'losing_trades': 16, 'sharpe_ratio': 0.2301766911366686}
ETSY: {'final_portfolio_value': 6871.171701713741, 'Portfolio cumulative percent gain': -31.288282982862594, 'Stock percent gain': -47.47432225052111, 'total_trades': 28, 'winning_trades': 10, 'losing_trades': 17, 'sharpe_ratio': -19.536679592127513}
KIM: {'final_portfolio_value': 10458.039711946976, 'Portfolio cumulative percent gain': 4.580397119469763, 'Stock percent gain': -11.280997369908206, 'total_trades': 48, 'winning_trades': 30, 'losing_trades': 18, 'sharpe_ratio': 0.1043987534144505}
BIIB: {'final_portfolio_value': 11636.148182189907, 'Portfolio cumulative percent gain': 16.36148182189907, 'Stock percent gain': 0.6305217914892344, 'total_trades': 81, 'winning_trades': 42, 'losing_trades': 38, 'sharpe_ratio': 0.2859191072840659}
