,Close,High,Low,Open,Volume
,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Date,,,,,
2017-11-09,320.8840027,329.4519958,307.0559998,308.644989,893249984
2017-11-10,299.2529907,324.7179871,294.5419922,320.67099,885985984
2017-11-11,314.6809998,319.4530029,298.1919861,298.5859985,842300992
2017-11-12,307.9079895,319.1530151,298.5130005,314.6900024,1613479936
2017-11-13,316.7160034,328.4150085,307.0249939,307.0249939,1041889984
2017-11-14,337.631012,340.177002,316.7630005,316.7630005,1069680000
2017-11-15,333.3569946,340.9119873,329.8129883,337.9639893,722665984
2017-11-16,330.9240112,336.1589966,323.6059875,333.4429932,797254016
2017-11-17,332.3940125,334.9639893,327.5230103,330.1669922,621732992
2017-11-18,347.6119995,349.6159973,327.6870117,331.980011,649638976
2017-11-19,354.3859863,371.2909851,344.7399902,347.401001,1181529984
2017-11-20,366.730011,372.1369934,353.2890015,354.0939941,807027008
2017-11-21,360.401001,372.4700012,350.6929932,367.4429932,949912000
2017-11-22,380.6520081,381.4200134,360.1470032,360.3120117,800819008
2017-11-23,410.1659851,425.5480042,376.0880127,381.4389954,1845680000
2017-11-24,474.9110107,480.9729919,402.7579956,412.5010071,2292829952
2017-11-25,466.276001,485.1919861,461.053009,475.6759949,1422080000
2017-11-26,471.3299866,472.7229919,451.6059875,465.973999,1197779968
2017-11-27,480.355011,493.4049988,468.4849854,471.5310059,1396480000
2017-11-28,472.9020081,482.480011,466.3469849,480.5180054,1346499968
2017-11-29,427.5230103,522.3070068,425.0710144,473.2810059,2675940096
2017-11-30,447.1140137,465.4970093,401.2430115,431.2149963,1903040000
2017-12-01,466.5400085,472.6090088,428.3120117,445.2090149,1247879936
2017-12-02,463.4490051,476.2390137,456.6530151,466.8510132,943649984
2017-12-03,465.8529968,482.8139954,451.8519897,463.7049866,990556992
2017-12-04,470.20401,474.7770081,453.3120117,466.0539856,1005550016
2017-12-05,463.2810059,473.5580139,457.6600037,470.2940063,1216720000
2017-12-06,428.5880127,462.7080078,420.2099915,462.6040039,1998259968
2017-12-07,434.4079895,441.3970032,414.4110107,426.368988,2129570048
2017-12-08,456.0310059,466.0620117,422.3670044,434.9890137,2336379904
2017-12-09,473.5020142,504.1470032,456.2529907,457.3439941,2003849984
2017-12-10,441.7210083,472.7890015,429.5140076,472.7890015,1404179968
