,Close,High,Low,Open,Volume
2017-12-11,515.1359863,516.9689941,439.1040039,440.3580017,1771440000
2017-12-12,651.4310303,657.3179932,504.493988,522.2860107,5179829760
2017-12-13,702.7670288,747.992981,597.7979736,644.9060059,4524539904
2017-12-14,695.815979,753.1209717,664.9890137,700.5939941,3821580032
2017-12-15,684.447998,697.132019,621.0609741,696.3759766,2758710016
2017-12-16,696.2089844,718.3850098,680.7860107,686.1920166,2165690112
2017-12-17,719.9749756,735.8250122,696.2369995,696.2369995,2147389952
2017-12-18,794.6450195,803.9279785,689.2310181,721.7319946,3249230080
2017-12-19,826.822998,881.9439697,785.34198,793.901001,4096549888
2017-12-20,819.0859985,845.0620117,756.0040283,827.5159912,3969939968
2017-12-21,821.0629883,880.5430298,792.6890259,820.2360229,3569060096
2017-12-22,674.8599854,827.6829834,543.7620239,822.6430054,4977710080
2017-12-23,719.3870239,763.8950195,679.7310181,681.315979,2480339968
2017-12-24,694.1480103,721.7689819,614.9219971,721.7689819,2300549888
2017-12-25,765.8339844,782.5209961,698.8699951,698.8699951,2491760128
2017-12-26,773.8359985,786.789978,760.9349976,763.3699951,2201159936
2017-12-27,762.84198,789.2529907,738.4130249,774.9699707,2100029952
2017-12-28,737.0230103,763.3189697,701.1870117,762.2080078,2389149952
2017-12-29,753.59198,770.1170044,729.6079712,740.3889771,2648969984
2017-12-30,717.257019,753.8150024,685.2310181,753.8150024,3187780096
2017-12-31,756.7329712,760.3480225,710.1190186,712.2119751,2554269952
2018-01-01,772.6409912,782.5300293,742.0040283,755.757019,2595760128
2018-01-02,884.4439697,914.8300171,772.3460083,772.3460083,5783349760
2018-01-03,962.7199707,974.4710083,868.4509888,886,5093159936
2018-01-04,980.9219971,1045.079956,946.0859985,961.7130127,6502859776
2018-01-05,997.7199707,1075.390015,956.3250122,975.75,6683149824
2018-01-06,1041.680054,1060.709961,994.6220093,995.1539917,4662219776
2018-01-07,1153.170044,1153.170044,1043.01001,1043.01001,5569880064
2018-01-08,1148.530029,1266.930054,1016.049988,1158.26001,8450970112
2018-01-09,1299.73999,1320.97998,1145.48999,1146,7965459968
2018-01-10,1255.819946,1417.380005,1226.599976,1300.339966,9214950400
2018-01-11,1154.930054,1337.300049,1135.170044,1268.089966,7235899904
2018-01-12,1273.199951,1296.040039,1120.089966,1158.290039,5222300160
2018-01-13,1396.420044,1432.880005,1270.469971,1270.469971,5746760192
2018-01-14,1366.77002,1400.560059,1286.209961,1397.47998,4841630208
2018-01-15,1291.920044,1390.589966,1290.599976,1365.209961,4781100032
2018-01-16,1053.689941,1292.630005,875.5449829,1292.630005,8405139968
2018-01-17,1014.25,1090.22998,780.9219971,1061.339966,8545160192
2018-01-18,1036.280029,1100.310059,967.7589722,1016.440002,5938319872
2018-01-19,1039.099976,1093.219971,1003.710022,1028.819946,4084450048
2018-01-20,1155.150024,1167.109985,1044.949951,1044.949951,3975190016
2018-01-21,1049.579956,1155.680054,1021.5,1155.680054,3378089984
2018-01-22,1003.26001,1089.099976,930.7410278,1055.349976,3810099968
2018-01-23,986.2290039,1023.22998,920.539978,1004.169983,3556699904
2018-01-24,1058.780029,1062.439941,965.8079834,987.4769897,3944039936
2018-01-25,1056.030029,1104.660034,1034.73999,1063.219971,4050190080
2018-01-26,1055.170044,1080.599976,996.7839966,1052.699951,3617690112
2018-01-27,1107.069946,1121.97998,1042.119995,1055.75,3002870016
2018-01-28,1246.01001,1257.77002,1111.780029,1111.780029,5372329984
2018-01-29,1182.359985,1256.699951,1169.079956,1246.699951,3715079936
2018-01-30,1071.130005,1184.630005,1058.969971,1184.130005,4107859968
2018-01-31,1118.310059,1128.660034,1034.5,1071.089966,3757560064
2018-02-01,1036.790039,1161.349976,984.8189697,1119.369995,5261680128
2018-02-02,915.7849731,1035.77002,757.9799805,1035.77002,6713290240
2018-02-03,964.0189819,991.9429932,847.6900024,919.2109985,3243480064
2018-02-04,834.6820068,969.0319824,805.0640259,964.6669922,2997090048
2018-02-05,697.9509888,856.6459961,644.598999,834.9580078,4269530112
2018-02-06,793.1220093,796.4390259,574.4190063,707.7369995,6518269952
2018-02-07,757.0679932,851.2000122,723.4329834,790.4279785,3896179968
2018-02-08,817.8070068,845.0859985,755.8430176,755.8430176,3708189952
2018-02-09,883.8649902,884.0040283,788.8339844,818.4799805,2495820032
2018-02-10,860.414978,917.4000244,825.5770264,882.46698,2930530048
2018-02-11,814.6599731,859.2880249,788.2219849,859.2880249,2486650112
2018-02-12,868.7069702,875.9370117,817.5079956,817.5079956,2243450112
2018-02-13,845.2579956,870.7089844,828.8369751,869.2930298,2081170048
2018-02-14,923.5609741,926.4290161,844.2789917,844.2789917,2818370048
2018-02-15,936.9760132,951.947998,911.1110229,923.7280273,2900100096
2018-02-16,944.210022,950.0050049,917.8480225,934.7860107,2369449984
2018-02-17,974.1149902,976.5949707,940.7540283,944.7479858,2525720064
2018-02-18,923.9210205,982.9329834,915.4450073,973.348999,2567290112
2018-02-19,943.8649902,957.7769775,921.5540161,921.6680298,2169019904
2018-02-20,895.3709717,965.2650146,892.9539795,943.5670166,2545260032
2018-02-21,849.9710083,912.375,830.5629883,894.1350098,2531729920
2018-02-22,812.8449707,875.9260254,802.6680298,849.2620239,2150370048
2018-02-23,864.1890259,886.3179932,794.7910156,811.585022,2334820096
2018-02-24,840.5150146,879.5310059,818.5499878,861.5930176,1926579968
2018-02-25,844.8099976,853.1459961,822.3809814,839.4589844,1646960000
2018-02-26,869.3150024,880.3920288,842.3189697,845.2780151,2044480000
2018-02-27,878.2650146,896.2589722,867.0969849,870.3649902,2053980032
2018-02-28,855.1989746,890.1079712,855.1240234,877.934021,1963980032
2018-03-01,872.2000122,880.302002,851.9199829,856.0120239,1868519936
2018-03-02,856.8530273,876.3779907,852.4219971,871.7639771,1894419968
2018-03-03,857.2249756,868.4539795,855.2069702,856.7109985,1699369984
2018-03-04,866.6779785,867.9500122,840.2800293,856.1859741,1697939968
2018-03-05,853.684021,869.9199829,853.5200195,866.8460083,1898489984
2018-03-06,816.9509888,853.8170166,809.9310303,853.8170166,1943069952
2018-03-07,752.8309937,825.6069946,726.5469971,816.2709961,2175419904
2018-03-08,704.5960083,773.7670288,696.1690063,752.5700073,1891640064
2018-03-09,728.9160156,729.1560059,648.1069946,702.1970215,2233019904
2018-03-10,686.8900146,748.0310059,682.6950073,730.1599731,1532960000
2018-03-11,723.3389893,735.8309937,668.1229858,685.3120117,1562680064
2018-03-12,699.8309937,742.5139771,683.2680054,724.4060059,1764999936
2018-03-13,690.8270264,713.7349854,682.3499756,698.1530151,1425959936
2018-03-14,614.2910156,702.7839966,594.0999756,691.2189941,1810560000
2018-03-15,611.3040161,620.6160278,579.5050049,614.8389893,1770460032
2018-03-16,601.6660156,623.1680298,587.8619995,611.7780151,1417350016
2018-03-17,552.7789917,609.151001,549.0960083,601.6779785,1267810048
2018-03-18,538.6439819,551.6400146,460.0880127,551.6400146,2685499904
2018-03-19,556.7260132,558.0999756,519.1229858,546.6259766,2046790016
2018-03-20,557.1749878,567.0900269,521.2039795,556.7219849,1833680000
2018-03-21,561.7319946,589.6069946,550.5720215,559.0999756,1781270016
2018-03-22,539.7020264,577.565979,523.0889893,562.1030273,1523459968
2018-03-23,539.6190186,540.4869995,512.1270142,539.8640137,1596349952
2018-03-24,526.4390259,545.382019,526.0800171,542.5720215,1300009984
2018-03-25,524.2869873,535.8209839,515.6589966,522.7030029,1151170048
2018-03-26,489.9509888,526.3790283,470.4400024,524.2869873,1638880000
2018-03-27,450.1159973,491.4590149,449.9710083,489.5899963,1617939968
2018-03-28,446.2789917,466.2109985,444.8609924,450.2909851,1514179968
2018-03-29,385.9679871,450.8129883,385.8129883,448.0750122,1970230016
2018-03-30,394.644989,409.9289856,368.6329956,385.9049988,1878130048
2018-03-31,396.4570007,418.4679871,392.9530029,395.0039978,1323920000
2018-04-01,379.6069946,400.5280151,363.8049927,397.2539978,1256930048
2018-04-02,386.4249878,395.17099,377.5929871,379.6990051,1102259968
2018-04-03,416.8930054,418.9679871,383.5320129,387.3120117,1363399936
2018-04-04,380.5429993,417.4719849,375.3099976,416.4849854,1287730048
2018-04-05,383.2319946,387.7160034,369.8160095,379.946991,1210680064
2018-04-06,370.2850037,385.1950073,366.9110107,382.7309875,967105984
2018-04-07,385.3139954,393.0589905,369.9360046,370.3800049,951475008
2018-04-08,400.5079956,402.5899963,385.6019897,385.7430115,948488000
2018-04-09,398.526001,429.2510071,390.6099854,400.8569946,1478390016
2018-04-10,414.2430115,415.8880005,393.8789978,399.4110107,1196000000
2018-04-11,430.5400085,430.5400085,412.4710083,415.0239868,1439040000
2018-04-12,492.9410095,493.0580139,417.4129944,430.1610107,2519360000
2018-04-13,492.7349854,526.4699707,482.6589966,493.1600037,2419249920
2018-04-14,501.4779968,512.0239868,488.2789917,492.5799866,1519079936
2018-04-15,531.7020264,531.7020264,502.8800049,502.8800049,1726089984
2018-04-16,511.1470032,534.1970215,500.25,532.0739746,1758979968
2018-04-17,502.8940125,518.0310059,502.5639954,511.144989,1760359936
2018-04-18,524.7890015,525.09198,503.0450134,503.3089905,1762940032
2018-04-19,567.8889771,567.8889771,523.2620239,524.0380249,2256869888
2018-04-20,615.7180176,618.7150269,560.28302,567.9890137,2849469952
2018-04-21,605.3950195,621.8880005,578.5499878,616.0040283,2612460032
2018-04-22,621.8599854,640.7670288,593.8690186,606.1190186,2426269952
2018-04-23,642.5479736,646.7000122,621.0349731,621.1989746,2386830080
2018-04-24,708.15802,708.875,643.3980103,643.3980103,3581860096
2018-04-25,615.4160156,707.0620117,600.2119751,707.0620117,4216140032
2018-04-26,662.809021,663.1810303,604.007019,618.0789795,2984009984
2018-04-27,647.0319824,684.867981,647.0319824,662.1090088,2598129920
2018-04-28,683.6779785,691.4420166,644.6459961,644.6459961,2496659968
2018-04-29,688.8809814,697.7559814,670.5130005,683.9119873,2740559872
2018-04-30,669.9240112,694.4390259,666.1170044,689.7609863,2853100032
2018-05-01,673.6129761,674.4030151,637.539978,670.4630127,2678960128
2018-05-02,687.1489868,688.84198,667.4199829,674.0750122,2822269952
2018-05-03,779.5430298,784.3410034,686.5910034,686.5910034,4210939904
2018-05-04,785.6240234,803.7459717,762.632019,776.7750244,3533410048
2018-05-05,816.1199951,827.4550171,784.2369995,784.5830078,3035040000
2018-05-06,792.3109741,835.0570068,764.8829956,816.0880127,3105570048
2018-05-07,753.7249756,795.7579956,710.1779785,793.3389893,4316120064
2018-05-08,752.8569946,774.2490234,728.1290283,755.0089722,2920489984
2018-05-09,752.2750244,759.5289917,718.4719849,752.9019775,2877870080
2018-05-10,727.2769775,766.7479858,726.6640015,752.5789795,2748950016
2018-05-11,679.5859985,736.9769897,669.8250122,727.0130005,3290080000
2018-05-12,686.0479736,691.4110107,644.065979,679.8770142,2668480000
2018-05-13,733.4959717,741.3120117,675.3189697,687.1749878,2362500096
2018-05-14,730.5490112,742.1699829,695.7919922,732.7329712,3005110016
2018-05-15,708.8709717,739.052002,700.9949951,731.1430054,2523069952
2018-05-16,707.0499878,710.2000122,682.5410156,708.0869751,2476130048
2018-05-17,672.6569824,718.8330078,668.8339844,708.7180176,2350619904
2018-05-18,694.3670044,695.0310059,663.809021,672.1019897,2305740032
2018-05-19,696.5300293,715.5780029,686.7910156,695.0720215,2021549952
2018-05-20,715.3690186,723.7529907,692.6690063,697.9229736,2156910080
2018-05-21,699.2219849,719.2780151,692.4940186,717.1929932,2005170048
2018-05-22,647.7410278,700.9760132,644.026001,700.1779785,2230469888
2018-05-23,583.585022,651.6359863,572.9520264,646.6699829,2995429888
2018-05-24,601.7550049,610.8179932,557.2059937,584.5360107,2791099904
2018-05-25,586.7340088,617.1859741,575.6240234,602.1400146,2110919936
2018-05-26,587.2800293,606.1749878,583.5120239,587.4260254,1694300032
2018-05-27,572.6680298,590.3280029,562.8660278,588.5200195,1788790016
2018-05-28,516.0360107,576.0490112,512.552002,573.0449829,2356900096
2018-05-29,565.3880005,572.2639771,516.1480103,516.1480103,2330820096
2018-05-30,559.5900269,583.1359863,545.4310303,566.8300171,2053970048
2018-05-31,577.6450195,585.5380249,557.065979,558.4970093,1985040000
2018-06-01,580.0430298,589.0930176,567.664978,578.6719971,1945890048
2018-06-02,591.8079834,597.0770264,577.3220215,580.4290161,1880390016
2018-06-03,618.3289795,624.5130005,591.2589722,591.2589722,1832550016
2018-06-04,592.9849854,623.4290161,583.7470093,619.4370117,1903430016
2018-06-05,609.3029785,611.3300171,580.9819946,593.4060059,1844269952
2018-06-06,607.1240234,611.6430054,596.3959961,610.2620239,1756530048
2018-06-07,605.1870117,616.1439819,601.6929932,607.6870117,1880140032
2018-06-08,601.0770264,608.8109741,595.5930176,605.4429932,1637779968
2018-06-09,597.5620117,608.5830078,597.5620117,600.9050293,1519309952
2018-06-10,526.4790039,594.3449707,511.8890076,594.3449707,2234880000
2018-06-11,533.2839966,536.8579712,515.2689819,524.8569946,1982119936
2018-06-12,496.8429871,538.9550171,491.2349854,532.710022,1932760064
2018-06-13,477.493988,501.9049988,459.0039978,498.0180054,2080130048
2018-06-14,519.7420044,523.5449829,467.4660034,478.381012,2458650112
2018-06-15,491.0039978,521.3049927,487.4689941,520.4799805,1808269952
2018-06-16,499.6419983,503.2229919,488.8510132,490.4140015,1314109952
2018-06-17,500.447998,507.6409912,498.6480103,499.4599915,1264870016
2018-06-18,518.8909912,521.7960205,494.0660095,499.3829956,1513869952
2018-06-19,537.9569702,542.3530273,516.3120117,519.0230103,1726569984
2018-06-20,536.2680054,541.0150146,519.3690186,538.5059814,1596290048
2018-06-21,527.3670044,543.71698,524.2589722,536.4470215,1462070016
2018-06-22,465.8169861,527.1939697,456.8770142,527.1939697,2226030080
2018-06-23,474.519989,479.1289978,462.3930054,466.2739868,1651379968
2018-06-24,457.6719971,475.3590088,426.4689941,474.7680054,2490579968
2018-06-25,460.3099976,470.3439941,448.8959961,455.9360046,4007950080
2018-06-26,432.7720032,461.2130127,432.7720032,460.7330017,1356560000
2018-06-27,442.3649902,444.2430115,424.8389893,432.243988,1368940032
2018-06-28,422.3649902,443.6180115,419.6830139,442.2900085,1360790016
2018-06-29,436.0090027,441.7929993,407.946991,422.5870056,1564499968
2018-06-30,455.1799927,458.7969971,436.2090149,436.2090149,1475939968
2018-07-01,453.9179993,457.1390076,446.3850098,455.2420044,1511730048
2018-07-02,475.3469849,479.1300049,447.1109924,453.8240051,1625789952
2018-07-03,464.1950073,483.8540039,462.5820007,475.3859863,1683939968
2018-07-04,467.3179932,481.4360046,455.1849976,464.151001,1549769984
2018-07-05,474.4119873,483.2250061,464.6289978,467.2869873,1828610048
2018-07-06,474.0119934,479.6520081,457.6149902,474.3569946,1627609984
2018-07-07,491.6600037,491.6600037,466.8359985,474.0570068,1358360064
2018-07-08,489.118988,503.1990051,488.4169922,492.0679932,1344560000
2018-07-09,476.6820068,490.8519897,475.1749878,488.8779907,1533799936
2018-07-10,434.4240112,478.3179932,433.9599915,476.1619873,1789069952
2018-07-11,446.5180054,447.3160095,429.5069885,434.5150146,1422470016
2018-07-12,430.0740051,446.5020142,422.8099976,446.5020142,1495440000
2018-07-13,434.0270081,442.3630066,430.7409973,430.7409973,1489670016
2018-07-14,436.0859985,439.4339905,431.473999,434.5109863,1235820032
2018-07-15,449.8500061,454.0010071,433.92099,435.8829956,1350160000
2018-07-16,480.6579895,480.6579895,446.7980042,450.4249878,1858680064
2018-07-17,501.0020142,508.7799988,468.9150085,480.0769958,2288100096
2018-07-18,480.5130005,513.4329834,474.3590088,500.8380127,2371559936
2018-07-19,469.618988,483.2399902,465.1419983,480.6279907,2068739968
2018-07-20,450.697998,469.3070068,443.6929932,469.3070068,1821350016
2018-07-21,462.4360046,468.0830078,445.776001,450.6789856,1504310016
2018-07-22,459.6570129,470.8980103,458.118988,462.4379883,1338589952
2018-07-23,450.8529968,469.7659912,449.7279968,459.4389954,1596999936
2018-07-24,479.3729858,481.1419983,450.5650024,451.1359863,2287520000
2018-07-25,472.4930115,482.8680115,466.473999,479.9060059,1930780032
2018-07-26,464.0369873,483.6960144,461.4240112,472.3309937,1621560064
2018-07-27,469.6659851,473.2219849,458.2909851,464.0090027,1734259968
2018-07-28,466.8980103,471.5939941,462.9890137,469.678009,1531890048
2018-07-29,466.6650085,470.3559875,462.7120056,466.9150085,1631910016
2018-07-30,457.0809937,467.9519958,448.6409912,466.8269958,2141590000
2018-07-31,433.8670044,457.2449951,430.4440002,457.2449951,1820680000
2018-08-01,420.7470093,435.4570007,410.4639893,433.868988,1888060000
2018-08-02,412.6210022,425.0339966,410.3089905,420.8059998,1569300000
2018-08-03,418.2619934,420.5490112,399.9100037,412.5669861,1722340000
2018-08-04,407.2520142,420.1860046,403.776001,418.2369995,1466540000
2018-08-05,410.5159912,413.7160034,402.4320068,407.3460083,1396820000
2018-08-06,406.6579895,414.5400085,403.3150024,410.5669861,1384880000
2018-08-07,380.2149963,411.4049988,376.0769958,406.8009949,1828350000
2018-08-08,356.6130066,380.67099,353.7340088,379.8919983,2016080000
2018-08-09,365.5880127,370.9460144,353.6140137,356.9710083,1616610000
2018-08-10,334.1759949,367.0450134,329.5859985,365.776001,1699400000
2018-08-11,322.1119995,334.2640076,308.4880066,334.2640076,1790370000
2018-08-12,319.5700073,328.5899963,318.6019897,320.822998,1625420000
2018-08-13,286.4949951,323.5509949,284.9339905,320.2099915,1751190000
2018-08-14,278.9320068,286.3649902,254.6499939,286.3649902,2137850000
2018-08-15,282.3640137,303.5899963,280.118988,280.3869934,1878150000
2018-08-16,288.04599,298.4760132,280.928009,282.7409973,1552970000
2018-08-17,315.7290039,316.1700134,287.3460083,287.6830139,1995460000
2018-08-18,295.8120117,320.4460144,286.5509949,316.7909851,1764020000
2018-08-19,300.8340149,307.0979919,291.3320007,295.6700134,1447910000
2018-08-20,274.3150024,304.3720093,273.5109863,301.381012,1413790000
2018-08-21,281.9440002,285.9700012,273.3309937,273.3309937,1164120000
2018-08-22,271.3410034,297.4859924,264.9979858,281.9679871,1507660000
2018-08-23,277.1040039,279.54599,271.0899963,271.7479858,1271160000
2018-08-24,282.9670105,283.302002,273.8599854,278.1109924,1450170000
2018-08-25,279.6459961,283.5150146,278.4710083,283.2810059,1208360000
2018-08-26,275.196991,279.5249939,272.4440002,279.5249939,1206650000
2018-08-27,285.6029968,285.6029968,273.6499939,275.3500061,1406790000
2018-08-28,296.4989929,297.3999939,283.571991,286.6489868,1513350000
2018-08-29,289.3120117,297.0710144,287.2869873,296.1629944,1474460000
2018-08-30,284.105011,291.2430115,275.2109985,289.7529907,1513100000
2018-08-31,283.0039978,284.5509949,278.5130005,284.1199951,1411910000
2018-09-01,295.3410034,301.1440125,283.4960022,283.4960022,1546630000
2018-09-02,294.3710022,298.6860046,290.9259949,295.4530029,1321050000
2018-09-03,289.2590027,295.5910034,287.4320068,295.1809998,1394490000
2018-09-04,285.7229919,291.5799866,284.2550049,289.2969971,1554870000
2018-09-05,232.3309937,288.1629944,232.3309937,286.0450134,2390390000
2018-09-06,230.2149963,231.7550049,218.1230011,231.647995,2097310000
2018-09-07,217.2030029,233.8959961,217.0749969,229.5350037,1678260000
2018-09-08,197.951004,220.3670044,193.2590027,217.9120026,1517200000
2018-09-09,196.923996,207.6660004,188.3059998,198.3849945,1585980000
2018-09-10,197.0789948,201.8829956,189.5839996,197.8509979,1502960000
2018-09-11,185.0659943,198.5059967,180.595993,198.177002,1568900000
2018-09-12,183.3309937,185.5870056,170.2570038,185.4230042,1874850000
2018-09-13,211.3540039,214.0019989,183.6790009,183.6790009,2330720000
2018-09-14,211.7489929,222.7940063,204.8710022,212.6690063,2232190000
2018-09-15,223.0740051,226.6040039,209.6060028,209.8139954,1670490000
2018-09-16,220.5890045,222.8029938,211.1179962,222.8029938,1502260000
2018-09-17,197.875,224.2610016,195.3079987,221.5820007,2019910000
2018-09-18,209.9750061,213.3569946,195.9340057,197.0950012,1800640000
2018-09-19,209.9689941,213.8710022,201.6560059,209.4720001,1733330000
2018-09-20,224.5910034,224.8179932,207.7890015,210.2879944,1782070000
2018-09-21,246.5839996,248.3880005,221.5670013,225.2510071,2836200000
2018-09-22,240.4799957,251.1959991,233.8099976,247.3370056,1921820000
2018-09-23,244.3300018,247.4640045,237.8569946,240.9920044,1693470000
2018-09-24,228.7299957,245.1080017,227.4900055,244.8439941,1748740000
2018-09-25,218.5050049,228.3269958,206.4900055,228.3269958,2120360000
2018-09-26,215.8470001,221.4369965,209.1130066,218.6470032,1756100000
2018-09-27,228.4940033,230.6069946,212.654007,215.4400024,2030320000
2018-09-28,222.4019928,231.7480011,218.6690063,229.0410004,2018120000
2018-09-29,231.6349945,234.0140076,216.0780029,221.7050018,2208720000
2018-09-30,232.8480072,236.9859924,228.4450073,231.3289948,1765560000
2018-10-01,230.7680054,234.1450043,226.9450073,233.2200012,1597500000
2018-10-02,227.1809998,231.1670074,225.8379974,231.1000061,1542080000
2018-10-03,220.4889984,226.4579926,213.970993,226.4069977,1683930000
2018-10-04,222.2180023,226.147995,220.0899963,220.4459991,1479500000
2018-10-05,227.6009979,228.3190002,220.9570007,222.2669983,1547330000
2018-10-06,225.1199951,227.9259949,224.2460022,227.552002,1505070000
2018-10-07,226.1190033,226.3699951,222.9960022,225.4349976,1470480000
2018-10-08,229.2550049,230.7649994,224.5570068,226.5090027,1470740000
2018-10-09,227.9819946,230.1609955,226.401001,229.7100067,1405130000
2018-10-10,225.7689972,227.7070007,224.4949951,227.6150055,1384040000
2018-10-11,189.4989929,225.6100006,189.2830048,225.6100006,2167620000
2018-10-12,196.727005,199.401001,188.7070007,188.7070007,1487900000
2018-10-13,199.8410034,201.279007,196.3639984,196.3639984,1167610000
2018-10-14,195.7149963,201.8269958,195.2429962,199.6909943,1169260000
2018-10-15,209.7039948,222.1179962,194.1589966,195.2700043,2865830000
2018-10-16,210.1199951,212.1730042,207.9839935,209.628006,1532280000
2018-10-17,207.0829926,211.125,205.9279938,210.2169952,1444130000
2018-10-18,203.352005,208.4700012,201.7429962,207.404007,1365860000
2018-10-19,203.727005,204.6629944,201.8439941,203.2570038,1264480000
2018-10-20,205.4299927,206.2220001,203.0850067,203.5149994,1238780000
2018-10-21,205.1419983,208.1549988,204.6210022,205.3899994,1190300000
2018-10-22,204.0440063,206.9320068,203.3769989,205.173996,1328980000
2018-10-23,204.3359985,205.151001,201.9109955,204.0160065,1237490000
2018-10-24,203.852005,205.5809937,203.3540039,204.1269989,1102220000
2018-10-25,202.7189941,204.1320038,201.822998,203.8679962,1102900000
2018-10-26,203.3289948,204.7799988,201.5509949,202.3359985,1161310000
2018-10-27,204.2100067,206.0820007,203.1260071,203.3560028,1084810000
2018-10-28,205.3659973,205.9190063,203.522995,204.5099945,1139140000
2018-10-29,197.246994,205.5970001,195.7339935,205.173996,1517230000
2018-10-30,197.5559998,198.121994,196.3509979,197.2030029,1363500000
2018-10-31,197.3809967,198.3379974,196.5310059,197.6490021,1442380000
2018-11-01,198.871994,203.7539978,197.3280029,197.5370026,1336700000
2018-11-02,200.6349945,201.2689972,198.7550049,198.9819946,1451870000
2018-11-03,200.1860046,200.7400055,199.5249939,200.7400055,1307150000
2018-11-04,207.4859924,211.2720032,198.9859924,200.1580048,1749300000
2018-11-05,209.0910034,210.8190002,206.572998,207.1000061,1613510000
2018-11-06,218.4519958,218.4519958,207.8939972,209.473999,1856940000
2018-11-07,217.1829987,221.6519928,216.7960052,218.8990021,1927830000
2018-11-08,212.2310028,218.3379974,212.1990051,217.3269958,1769080000
2018-11-09,210.0740051,213.3159943,209.5149994,211.9869995,1554750000
2018-11-10,212.5330048,213.8569946,209.8049927,209.9750061,1377760000
2018-11-11,211.3399963,212.9989929,208.8679962,212.4790039,1501600000
2018-11-12,210.4179993,212.6230011,208.923996,211.5130005,1452380000
2018-11-13,206.826004,210.5149994,206.1349945,210.1490021,1610260000
2018-11-14,181.3970032,207.0449982,174.0839996,206.5339966,2595330000
2018-11-15,180.8059998,184.2510071,170.1889954,181.8990021,2638410000
2018-11-16,175.177002,181.3500061,173.1260071,180.8650055,2015330000
2018-11-17,174.0010071,175.8509979,172.8690033,175.3600006,1832800000
2018-11-18,177.0670013,179.1519928,174.1750031,174.1750031,1810920000
2018-11-19,149.1750031,177.1790009,147.8509979,177.1790009,2745160000
2018-11-20,130.3390045,151.253006,126.3600006,148.8110046,3134410000
2018-11-21,136.701004,138.8899994,125.7580032,131.1419983,2685930000
2018-11-22,126.7060013,137.7400055,126.7060013,136.8110046,1792150000
2018-11-23,123.2959976,127.0279999,119.5589981,126.4189987,1998010000
2018-11-24,113.4940033,126.788002,110.8249969,123.3040009,1800960000
2018-11-25,116.4499969,118.8809967,101.7699966,113.1259995,2466750000
2018-11-26,108.3349991,118.2009964,104.8929977,116.3430023,2139490000
2018-11-27,110.0100021,111.8420029,102.4520035,107.913002,2320010000
2018-11-28,122.4380035,126.0479965,110.197998,110.197998,2673470000
2018-11-29,117.5426483,123.2297211,115.2976913,122.72155,2196099151
2018-11-30,113.1714172,119.4237671,111.7449646,117.728096,2020748396
2018-12-01,118.6355591,120.8414536,111.6191254,113.3977585,2131475768
2018-12-02,116.3889008,120.5620499,116.092041,118.2681503,1856199149
2018-12-03,108.9250183,116.6190643,107.415657,116.3787613,1772756193
2018-12-04,110.2141876,113.1429138,107.4027176,108.8031616,1748116495
