Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'VWAP_signal', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'Close']
Model Class Weight: {0: 1, -1: 1, 1: 1}
--------------------------------------------------
Highest % gain: ('STLD.csv', {'final_portfolio_value': 40503.71304055729, 'Percent gain': 305.0371304055729, 'total_trades': 94})
Lowest % gain: ('MTCH.csv', {'final_portfolio_value': 2760.906045990114, 'Percent gain': -72.39093954009887, 'total_trades': 125})
Number of stocks with a positive gain 269
Number of stocks with a negative gain 231
Sum of the Top 100 portfolios: 1,572,759.03
Sum of the Bottom 100 portfolios: 666,635.89
--------------------------------------------------
MPC.csv: {'final_portfolio_value': 14476.68508555741, 'Percent gain': 44.766850855574106, 'total_trades': 83}
CMI.csv: {'final_portfolio_value': 14473.192732776073, 'Percent gain': 44.73192732776074, 'total_trades': 97}
ETN.csv: {'final_portfolio_value': 14434.337616578076, 'Percent gain': 44.343376165780754, 'total_trades': 93}
APH.csv: {'final_portfolio_value': 14408.241628342183, 'Percent gain': 44.08241628342182, 'total_trades': 98}
TJX.csv: {'final_portfolio_value': 14403.304050361327, 'Percent gain': 44.033040503613265, 'total_trades': 119}
CI.csv: {'final_portfolio_value': 14329.79310868834, 'Percent gain': 43.2979310868834, 'total_trades': 93}
RCL.csv: {'final_portfolio_value': 14295.026836850557, 'Percent gain': 42.95026836850557, 'total_trades': 107}
AFL.csv: {'final_portfolio_value': 14191.94470198795, 'Percent gain': 41.9194470198795, 'total_trades': 80}
SMCI.csv: {'final_portfolio_value': 14092.945957698297, 'Percent gain': 40.92945957698297, 'total_trades': 124}
GDDY.csv: {'final_portfolio_value': 14090.378737945448, 'Percent gain': 40.90378737945448, 'total_trades': 62}
CBOE.csv: {'final_portfolio_value': 14081.494993428692, 'Percent gain': 40.81494993428693, 'total_trades': 87}
CTAS.csv: {'final_portfolio_value': 14021.49699073496, 'Percent gain': 40.214969907349605, 'total_trades': 143}
TXT.csv: {'final_portfolio_value': 13992.928405837898, 'Percent gain': 39.92928405837898, 'total_trades': 96}
EW.csv: {'final_portfolio_value': 13969.53362096075, 'Percent gain': 39.695336209607504, 'total_trades': 110}
CAH.csv: {'final_portfolio_value': 13914.478125015128, 'Percent gain': 39.14478125015128, 'total_trades': 88}
SCHW.csv: {'final_portfolio_value': 13863.571333219514, 'Percent gain': 38.63571333219514, 'total_trades': 81}
BKR.csv: {'final_portfolio_value': 13828.0536930292, 'Percent gain': 38.280536930292, 'total_trades': 126}
PH.csv: {'final_portfolio_value': 13798.876621567171, 'Percent gain': 37.98876621567172, 'total_trades': 111}
TSCO.csv: {'final_portfolio_value': 13794.739829534961, 'Percent gain': 37.94739829534961, 'total_trades': 130}
DVA.csv: {'final_portfolio_value': 13791.744170364589, 'Percent gain': 37.91744170364589, 'total_trades': 111}
QRVO.csv: {'final_portfolio_value': 13773.350571758505, 'Percent gain': 37.73350571758505, 'total_trades': 77}
DECK.csv: {'final_portfolio_value': 13762.718318158193, 'Percent gain': 37.627183181581934, 'total_trades': 96}
HPQ.csv: {'final_portfolio_value': 13752.785030960544, 'Percent gain': 37.527850309605434, 'total_trades': 86}
TDG.csv: {'final_portfolio_value': 13735.557333652923, 'Percent gain': 37.35557333652923, 'total_trades': 119}
TT.csv: {'final_portfolio_value': 13586.338468426486, 'Percent gain': 35.86338468426486, 'total_trades': 103}
AMD.csv: {'final_portfolio_value': 13539.384514497404, 'Percent gain': 35.39384514497404, 'total_trades': 106}
MRK.csv: {'final_portfolio_value': 13537.179097292867, 'Percent gain': 35.371790972928665, 'total_trades': 65}
KMI.csv: {'final_portfolio_value': 13380.48293832672, 'Percent gain': 33.804829383267204, 'total_trades': 123}
AVGO.csv: {'final_portfolio_value': 13363.585429833642, 'Percent gain': 33.63585429833642, 'total_trades': 94}
INTU.csv: {'final_portfolio_value': 13337.535002466346, 'Percent gain': 33.37535002466346, 'total_trades': 121}
TMUS.csv: {'final_portfolio_value': 13269.590453702198, 'Percent gain': 32.69590453702198, 'total_trades': 94}
CB.csv: {'final_portfolio_value': 13266.823826693864, 'Percent gain': 32.668238266938644, 'total_trades': 111}
ECL.csv: {'final_portfolio_value': 13257.455713613586, 'Percent gain': 32.574557136135866, 'total_trades': 91}
ADBE.csv: {'final_portfolio_value': 13247.610413053553, 'Percent gain': 32.47610413053553, 'total_trades': 114}
MOS.csv: {'final_portfolio_value': 13239.594700490641, 'Percent gain': 32.39594700490641, 'total_trades': 120}
