Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Parameters: {'learning_rate': 0.5, 'max_iter': 300, 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': 15, 'warm_start': False, 'random_state': 63, 'verbose': 0, 'tol': 0.01}
--------------------------------------------------
Highest % gain: ('SMCI', {'final_portfolio_value': 106676.52875748397, 'Portfolio cumulative percent gain': 966.7652875748398, 'Stock percent gain': 1858.3561629258563, 'total_trades': 43, 'winning_trades': 31, 'losing_trades': 11, 'sharpe_ratio': 2.520584367034314})
Lowest % gain: ('MTCH', {'final_portfolio_value': 2859.776775228586, 'Portfolio cumulative percent gain': -71.40223224771415, 'Stock percent gain': -68.4947816674355, 'total_trades': 30, 'winning_trades': 16, 'losing_trades': 13, 'sharpe_ratio': -1.5674898511926962})
Number of stocks with a positive gain 264
Number of stocks with a negative gain 175
Win/Loss Ratio: 1.26
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
VRSK: {'final_portfolio_value': 16695.635588800113, 'Portfolio cumulative percent gain': 66.95635588800113, 'Stock percent gain': 48.2598914784388, 'total_trades': 41, 'winning_trades': 30, 'losing_trades': 10, 'sharpe_ratio': 1.3730123317715979}
NXPI: {'final_portfolio_value': 19697.676838783555, 'Portfolio cumulative percent gain': 96.97676838783555, 'Stock percent gain': 78.39587911977243, 'total_trades': 56, 'winning_trades': 38, 'losing_trades': 17, 'sharpe_ratio': 1.8924479148739661}
TAP: {'final_portfolio_value': 12691.585948944687, 'Portfolio cumulative percent gain': 26.915859489446866, 'Stock percent gain': 8.919309933041422, 'total_trades': 44, 'winning_trades': 31, 'losing_trades': 13, 'sharpe_ratio': 0.6888932323365454}
ECL: {'final_portfolio_value': 15020.08889002909, 'Portfolio cumulative percent gain': 50.2008889002909, 'Stock percent gain': 32.38218655032296, 'total_trades': 18, 'winning_trades': 12, 'losing_trades': 5, 'sharpe_ratio': 0.7036300236606841}
AMZN: {'final_portfolio_value': 14450.15678660597, 'Portfolio cumulative percent gain': 44.50156786605971, 'Stock percent gain': 26.79020897349674, 'total_trades': 49, 'winning_trades': 26, 'losing_trades': 22, 'sharpe_ratio': 0.48113141590499686}
AMAT: {'final_portfolio_value': 18617.275166855008, 'Portfolio cumulative percent gain': 86.17275166855009, 'Stock percent gain': 68.72027660976771, 'total_trades': 32, 'winning_trades': 23, 'losing_trades': 8, 'sharpe_ratio': 0.7599805585071624}
EXC: {'final_portfolio_value': 10600.044790550148, 'Portfolio cumulative percent gain': 6.000447905501478, 'Stock percent gain': -11.350948548544743, 'total_trades': 38, 'winning_trades': 23, 'losing_trades': 15, 'sharpe_ratio': 1.2277378592366837}
INCY: {'final_portfolio_value': 10510.3968153605, 'Portfolio cumulative percent gain': 5.103968153605001, 'Stock percent gain': -12.178365225256252, 'total_trades': 19, 'winning_trades': 12, 'losing_trades': 6, 'sharpe_ratio': 0.11883155326311172}
PPG: {'final_portfolio_value': 9977.731927463929, 'Portfolio cumulative percent gain': -0.22268072536071487, 'Stock percent gain': -17.089715430436712, 'total_trades': 24, 'winning_trades': 16, 'losing_trades': 7, 'sharpe_ratio': 0.004632381002660599}
TGT: {'final_portfolio_value': 8600.876586713643, 'Portfolio cumulative percent gain': -13.991234132863575, 'Stock percent gain': -30.619742939839483, 'total_trades': 13, 'winning_trades': 7, 'losing_trades': 5, 'sharpe_ratio': -0.47539022374664447}
WBA: {'final_portfolio_value': 3901.884444963781, 'Portfolio cumulative percent gain': -60.981155550362196, 'Stock percent gain': -77.60602378961983, 'total_trades': 47, 'winning_trades': 20, 'losing_trades': 26, 'sharpe_ratio': -2.184634573489139}
CZR: {'final_portfolio_value': 8435.825633676513, 'Portfolio cumulative percent gain': -15.641743663234866, 'Stock percent gain': -32.2232552461846, 'total_trades': 52, 'winning_trades': 22, 'losing_trades': 29, 'sharpe_ratio': -10.279051207461055}
GL: {'final_portfolio_value': 10360.946503536983, 'Portfolio cumulative percent gain': 3.6094650353698308, 'Stock percent gain': -12.798899883787053, 'total_trades': 15, 'winning_trades': 11, 'losing_trades': 3, 'sharpe_ratio': 0.10200991133296117}
SWK: {'final_portfolio_value': 6724.443601289478, 'Portfolio cumulative percent gain': -32.755563987105226, 'Stock percent gain': -48.96178459945876, 'total_trades': 18, 'winning_trades': 12, 'losing_trades': 5, 'sharpe_ratio': -0.17354580868041888}
ED: {'final_portfolio_value': 12740.719680022508, 'Portfolio cumulative percent gain': 27.407196800225083, 'Stock percent gain': 11.827959897311922, 'total_trades': 16, 'winning_trades': 9, 'losing_trades': 6, 'sharpe_ratio': 2.071654607268121}
MKTX: {'final_portfolio_value': 8192.531991745758, 'Portfolio cumulative percent gain': -18.074680082542418, 'Stock percent gain': -33.61963453172614, 'total_trades': 46, 'winning_trades': 25, 'losing_trades': 20, 'sharpe_ratio': -0.6358016522003772}
CRL: {'final_portfolio_value': 8626.585783706156, 'Portfolio cumulative percent gain': -13.734142162938442, 'Stock percent gain': -29.25123944161362, 'total_trades': 41, 'winning_trades': 25, 'losing_trades': 15, 'sharpe_ratio': -0.2585026018254248}
STX: {'final_portfolio_value': 11470.317393041032, 'Portfolio cumulative percent gain': 14.703173930410323, 'Stock percent gain': -0.7848966214156945, 'total_trades': 22, 'winning_trades': 14, 'losing_trades': 7, 'sharpe_ratio': 0.30424639366874767}
CHRW: {'final_portfolio_value': 10205.034255415254, 'Portfolio cumulative percent gain': 2.0503425541525395, 'Stock percent gain': -13.362148161964498, 'total_trades': 21, 'winning_trades': 14, 'losing_trades': 6, 'sharpe_ratio': 0.020839713331494692}
DRI: {'final_portfolio_value': 11888.070449242156, 'Portfolio cumulative percent gain': 18.880704492421557, 'Stock percent gain': 3.667341665007904, 'total_trades': 21, 'winning_trades': 15, 'losing_trades': 5, 'sharpe_ratio': 0.47405421551809496}
BR: {'final_portfolio_value': 14772.68280902898, 'Portfolio cumulative percent gain': 47.7268280902898, 'Stock percent gain': 32.81219840009881, 'total_trades': 20, 'winning_trades': 15, 'losing_trades': 4, 'sharpe_ratio': 0.6635620594909377}
DGX: {'final_portfolio_value': 12386.504550513248, 'Portfolio cumulative percent gain': 23.865045505132475, 'Stock percent gain': 9.269558349448337, 'total_trades': 33, 'winning_trades': 20, 'losing_trades': 12, 'sharpe_ratio': 3.267795255437271}
EQR: {'final_portfolio_value': 9449.471096323492, 'Portfolio cumulative percent gain': -5.50528903676508, 'Stock percent gain': -20.080997408803906, 'total_trades': 60, 'winning_trades': 35, 'losing_trades': 25, 'sharpe_ratio': -0.10111275670798928}
PFE: {'final_portfolio_value': 6863.584968205876, 'Portfolio cumulative percent gain': -31.364150317941238, 'Stock percent gain': -45.518131080660936, 'total_trades': 30, 'winning_trades': 15, 'losing_trades': 15, 'sharpe_ratio': -0.5383759716686116}
CMS: {'final_portfolio_value': 10996.43675828458, 'Portfolio cumulative percent gain': 9.964367582845806, 'Stock percent gain': -3.759400877416236, 'total_trades': 14, 'winning_trades': 9, 'losing_trades': 4, 'sharpe_ratio': 0.44573187418509336}
BIIB: {'final_portfolio_value': 11398.062074359355, 'Portfolio cumulative percent gain': 13.980620743593553, 'Stock percent gain': 0.6305217914892344, 'total_trades': 60, 'winning_trades': 36, 'losing_trades': 23, 'sharpe_ratio': 0.24345766907063052}
NEM: {'final_portfolio_value': 9212.83280428172, 'Portfolio cumulative percent gain': -7.871671957182807, 'Stock percent gain': -20.998996937281174, 'total_trades': 19, 'winning_trades': 12, 'losing_trades': 6, 'sharpe_ratio': -0.32284986741223604}
BAX: {'final_portfolio_value': 5453.299192465097, 'Portfolio cumulative percent gain': -45.467008075349035, 'Stock percent gain': -58.54144655787645, 'total_trades': 44, 'winning_trades': 25, 'losing_trades': 19, 'sharpe_ratio': -1.1425172023938122}
MKC: {'final_portfolio_value': 8779.98261316862, 'Portfolio cumulative percent gain': -12.200173868313795, 'Stock percent gain': -25.246871835729497, 'total_trades': 16, 'winning_trades': 10, 'losing_trades': 5, 'sharpe_ratio': -0.5466628245682921}
SWKS: {'final_portfolio_value': 9763.463558695601, 'Portfolio cumulative percent gain': -2.3653644130439897, 'Stock percent gain': -15.403298828724166, 'total_trades': 22, 'winning_trades': 12, 'losing_trades': 9, 'sharpe_ratio': 0.03605793108368729}
CSX: {'final_portfolio_value': 11292.453997048924, 'Portfolio cumulative percent gain': 12.92453997048924, 'Stock percent gain': 0.23234974048313545, 'total_trades': 7, 'winning_trades': 5, 'losing_trades': 1, 'sharpe_ratio': 0.6955531504903885}
LNT: {'final_portfolio_value': 10529.64237917464, 'Portfolio cumulative percent gain': 5.296423791746402, 'Stock percent gain': -7.266904861735385, 'total_trades': 23, 'winning_trades': 14, 'losing_trades': 9, 'sharpe_ratio': 0.22211576963721527}
