Date,share_amount,bs_signal,cash_earned,holding,bankroll,cumulative_percentage,close
2017-11-21,15,1,-5442.995090074999,15,0,0,360.401001
2017-11-27,30,-1,14328.647078349999,-15,14328.647078349999,163.24931110956715,480.355011
2017-11-29,30,1,-12899.768760545,15,1428.8783178049998,-73.74830779453613,427.5230103
2017-12-01,30,-1,13916.269253724999,-15,15345.147571529998,181.92469986811173,466.5400085
2017-12-06,30,1,-12931.878582905,15,2413.268988624999,-55.6628483272847,428.5880127
2017-12-18,30,-1,23710.203832075,-15,26123.4728207,379.94665415617794,794.6450195
2017-12-28,30,1,-22231.193760545,15,3892.2790601550005,-28.49012362233513,737.0230103
2018-01-31,30,-1,33371.60526115,-15,37263.884321305,584.6209431504657,1118.310059
2018-02-05,30,1,-21053.17231232,15,16210.712008985,197.8270555221396,697.9509888
2018-02-15,30,-1,27958.783994020003,-15,44169.496003005,711.49248294465,936.9760132
2018-02-24,30,1,-25351.477690189997,15,18818.018312815002,245.72910688691633,840.5150146
2018-03-01,30,-1,26025.22036417,-15,44843.238676985,723.8706435498016,872.2000122
2018-04-07,30,1,-11627.16696131,15,33216.071715674996,510.2535674934315,385.3139954
2018-05-06,30,-1,23640.532576884998,-15,56856.60429255999,944.5830531104992,792.3109741
2018-05-11,30,1,-20499.467854774997,15,36357.136437785,567.9619554329606,679.5859985
2018-05-14,30,-1,21796.937984319997,-15,58154.074422105,968.4204828357414,730.5490112
2018-05-28,30,1,-15568.435722605,15,42585.6386995,682.3934799638633,516.0360107
2018-06-19,30,-1,16048.065560469999,-15,58633.70425997,977.2323562607161,537.9569702
2018-06-26,30,1,-13058.02589648,15,45575.67836349,737.3271996257122,432.7720032
2018-07-06,30,-1,14139.308002989997,-15,59714.98636647999,997.0979282227714,474.0119934
2018-07-11,30,1,-13472.46786281,15,46242.51850366999,749.5785452386439,446.5180054
2018-07-18,30,-1,14333.363064924999,-15,60575.88156859499,1012.914499574908,480.5130005
2018-07-22,30,1,-13868.608938934998,15,46707.27262965999,758.1171185479869,459.6570129
2018-07-28,30,-1,13926.955607454998,-15,60634.228237114985,1013.9864584423043,466.8980103
2018-08-13,30,1,-8647.774102264999,15,51986.454134849984,855.1074964157954,286.4949951
2018-08-15,30,-1,8418.615808944998,-15,60405.06994379498,1009.7763077894427,282.3640137
2018-08-24,30,1,-8541.405366575,15,51863.664577219984,852.8515774667978,282.9670105
2018-09-20,30,-1,6694.0914514900005,-15,58557.756028709984,975.8370172974585,224.5910034
2018-09-25,30,1,-6597.875897734999,15,51959.88013097498,854.6192724979849,218.5050049
2018-10-07,30,-1,6739.702248505001,-15,58699.58237947999,978.442684736487,226.1190033
