Date,share_amount,bs_signal
2017-11-30,15,1
2017-12-11,30,-1
2017-12-13,30,1
2017-12-18,30,-1
2017-12-26,30,1
2018-01-19,30,-1
2018-01-31,30,1
2018-02-14,30,-1
2018-02-20,30,1
2018-03-08,30,-1
2018-04-07,30,1
2018-04-18,30,-1
2018-04-24,30,1
2018-05-03,30,-1
2018-05-11,30,1
2018-05-21,30,-1
2018-06-10,30,1
2018-06-16,30,-1
2018-06-25,30,1
2018-07-08,30,-1
2018-07-12,30,1
2018-07-16,30,-1
2018-07-23,30,1
2018-07-26,30,-1
2018-08-16,30,1
2018-08-27,30,-1
2018-09-08,30,1
2018-09-18,30,-1
2018-10-11,30,1
2018-10-25,30,-1
2018-11-25,30,1
2018-12-01,30,-1
2018-12-16,30,1
2018-12-25,30,-1
2018-12-27,30,1
2018-12-30,30,-1
2019-02-05,30,1
2019-02-15,30,-1
2019-03-25,30,1
2019-04-23,30,-1
2019-04-28,30,1
2019-05-18,30,-1
2019-05-26,30,1
2019-05-29,30,-1
2019-06-12,30,1
2019-06-21,30,-1
2019-06-27,30,1
2019-07-07,30,-1
2019-07-25,30,1
2019-08-26,30,-1
2019-09-02,30,1
2019-09-23,30,-1
2019-10-06,30,1
2019-10-15,30,-1
2019-10-24,30,1
2019-11-07,30,-1
2019-11-22,30,1
2019-12-07,30,-1
2019-12-29,30,1
2020-01-21,30,-1
2020-01-22,30,1
2020-02-11,30,-1
2020-03-14,30,1
2020-04-07,30,-1
2020-04-26,30,1
2020-05-02,30,-1
2020-05-11,30,1
2020-06-01,30,-1
2020-07-20,30,1
2020-07-27,30,-1
2020-07-31,30,1
2020-08-13,30,-1
2020-08-22,30,1
2020-09-03,30,-1
2020-10-01,30,1
2020-10-26,30,-1
2020-11-01,30,1
2020-11-05,30,-1
2020-11-25,30,1
2020-12-02,30,-1
2020-12-06,30,1
2020-12-19,30,-1
2020-12-25,30,1
2021-01-07,30,-1
2021-01-20,30,1
2021-02-21,30,-1
2021-02-26,30,1
2021-04-10,30,-1
2021-04-23,30,1
2021-05-12,30,-1
2021-05-18,30,1
2021-05-26,30,-1
2021-06-27,30,1
2021-07-11,30,-1
2021-07-23,30,1
2021-07-30,30,-1
2021-08-09,30,1
2021-08-16,30,-1
2021-08-25,30,1
2021-08-31,30,-1
2021-09-07,30,1
2021-09-18,30,-1
2021-09-28,30,1
2021-10-14,30,-1
2021-12-01,30,1
2021-12-02,30,-1
2021-12-05,30,1
2021-12-30,30,-1
2022-01-06,30,1
2022-01-11,30,-1
2022-01-25,30,1
2022-03-09,30,-1
2022-03-17,30,1
2022-03-30,30,-1
2022-04-04,30,1
2022-04-07,30,-1
2022-04-13,30,1
2022-05-13,30,-1
2022-06-15,30,1
2022-06-26,30,-1
2022-07-06,30,1
2022-07-08,30,-1
2022-07-20,30,1
2022-08-17,30,-1
2022-08-29,30,1
2022-09-10,30,-1
2022-10-11,30,1
2022-11-05,30,-1
2022-11-29,30,1
2022-12-10,30,-1
