Buy/Sell Threshold 0.0066 within a look ahead day count: 1
Technical Indicators: ['SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'close']
Highest % gain: ('SMCI.csv', {'final_portfolio_value': 27736.38903095297, 'Percent gain': 177.3638903095297, 'total_trades': 127})
Lowest % gain: ('EL.csv', {'final_portfolio_value': 3076.7412402825457, 'Percent gain': -69.23258759717454, 'total_trades': 80})
Number of stocks with a positive gain 283
Number of stocks with a negative gain 217
Sum of the Top 100 portfolios: 1594192.1488344565
Sum of the Bottom 100 portfolios: 698527.2363158998
--------------------------------------------------
RCL.csv: {'final_portfolio_value': 14663.021860195871, 'Percent gain': 46.63021860195872, 'total_trades': 41}
ACGL.csv: {'final_portfolio_value': 14653.137840498643, 'Percent gain': 46.53137840498643, 'total_trades': 78}
CPAY.csv: {'final_portfolio_value': 14587.816637646009, 'Percent gain': 45.878166376460086, 'total_trades': 50}
VLO.csv: {'final_portfolio_value': 14537.521892974213, 'Percent gain': 45.37521892974213, 'total_trades': 91}
CAT.csv: {'final_portfolio_value': 14511.108510930468, 'Percent gain': 45.111085109304675, 'total_trades': 83}
MPWR.csv: {'final_portfolio_value': 14483.953670257502, 'Percent gain': 44.839536702575025, 'total_trades': 38}
FSLR.csv: {'final_portfolio_value': 14420.202443974762, 'Percent gain': 44.20202443974762, 'total_trades': 61}
PGR.csv: {'final_portfolio_value': 14416.051528552798, 'Percent gain': 44.16051528552798, 'total_trades': 76}
AMP.csv: {'final_portfolio_value': 14394.517503122574, 'Percent gain': 43.94517503122573, 'total_trades': 64}
GE.csv: {'final_portfolio_value': 14351.915743859703, 'Percent gain': 43.519157438597034, 'total_trades': 76}
IRM.csv: {'final_portfolio_value': 14346.27112298943, 'Percent gain': 43.4627112298943, 'total_trades': 74}
ROP.csv: {'final_portfolio_value': 14299.455136421153, 'Percent gain': 42.99455136421153, 'total_trades': 29}
AJG.csv: {'final_portfolio_value': 14249.038580929098, 'Percent gain': 42.490385809290984, 'total_trades': 114}
NOC.csv: {'final_portfolio_value': 14230.798655492188, 'Percent gain': 42.30798655492188, 'total_trades': 83}
IQV.csv: {'final_portfolio_value': 14196.84922680365, 'Percent gain': 41.9684922680365, 'total_trades': 47}
MHK.csv: {'final_portfolio_value': 14164.939610248844, 'Percent gain': 41.649396102488446, 'total_trades': 88}
BKNG.csv: {'final_portfolio_value': 14135.725843647435, 'Percent gain': 41.357258436474346, 'total_trades': 58}
MCK.csv: {'final_portfolio_value': 14104.099935093047, 'Percent gain': 41.04099935093047, 'total_trades': 53}
PKG.csv: {'final_portfolio_value': 14030.855667499109, 'Percent gain': 40.30855667499109, 'total_trades': 60}
OKE.csv: {'final_portfolio_value': 13913.315872074962, 'Percent gain': 39.13315872074962, 'total_trades': 45}
MU.csv: {'final_portfolio_value': 13876.913338586512, 'Percent gain': 38.76913338586512, 'total_trades': 64}
FTNT.csv: {'final_portfolio_value': 13875.396199294415, 'Percent gain': 38.75396199294415, 'total_trades': 109}
LRCX.csv: {'final_portfolio_value': 13874.459235283059, 'Percent gain': 38.74459235283059, 'total_trades': 98}
DE.csv: {'final_portfolio_value': 13808.90609340871, 'Percent gain': 38.0890609340871, 'total_trades': 87}
COP.csv: {'final_portfolio_value': 13793.061429516238, 'Percent gain': 37.93061429516238, 'total_trades': 96}
MCHP.csv: {'final_portfolio_value': 13688.258940876154, 'Percent gain': 36.88258940876154, 'total_trades': 94}
UHS.csv: {'final_portfolio_value': 13656.619747772856, 'Percent gain': 36.566197477728565, 'total_trades': 114}
MPC.csv: {'final_portfolio_value': 13538.12753219898, 'Percent gain': 35.3812753219898, 'total_trades': 42}
WYNN.csv: {'final_portfolio_value': 13523.741635001994, 'Percent gain': 35.23741635001994, 'total_trades': 108}
DHR.csv: {'final_portfolio_value': 13463.024957943042, 'Percent gain': 34.63024957943042, 'total_trades': 75}
AWK.csv: {'final_portfolio_value': 13462.014657262616, 'Percent gain': 34.62014657262616, 'total_trades': 62}
LHX.csv: {'final_portfolio_value': 13431.44008798165, 'Percent gain': 34.314400879816496, 'total_trades': 28}
