Date,share_amount,bs_signal
2021-10-20,,1
2021-10-22,,1
2021-10-23,,1
2021-10-24,,1
2021-11-07,100,-1
2021-11-12,,-1
2021-11-17,,-1
2021-11-21,,-1
2021-11-27,100,1
2021-11-30,100,-1
2021-12-07,,-1
2021-12-13,100,1
2021-12-19,,1
2021-12-24,100,-1
2021-12-26,,-1
2021-12-31,100,1
2022-01-02,100,-1
2022-01-05,100,1
2022-01-08,100,-1
2022-01-12,,-1
2022-01-23,100,1
2022-01-25,,1
2022-01-28,,1
2022-02-16,100,-1
2022-02-18,100,1
2022-02-22,,1
2022-02-24,,1
2022-02-26,,1
2022-02-28,,1
2022-03-02,,1
2022-03-14,,1
2022-03-15,,1
2022-03-20,,1
2022-03-31,100,-1
2022-04-15,,-1
2022-04-24,,-1
2022-04-25,,-1
2022-05-07,100,1
2022-05-09,100,-1
2022-05-19,,-1
2022-05-24,100,1
2022-06-01,100,-1
2022-06-02,,-1
2022-06-13,100,1
2022-06-17,,1
2022-06-23,,1
2022-07-03,,1
2022-07-06,,1
2022-07-12,,1
2022-07-25,,1
2022-07-27,,1
2022-08-05,,1
2022-08-16,100,-1
2022-08-22,,-1
2022-08-24,100,1
2022-08-30,,1
2022-09-01,,1
2022-09-04,,1
2022-09-05,,1
2022-09-10,,1
2022-09-12,,1
2022-09-20,,1
2022-09-22,,1
2022-10-03,100,-1
2022-10-20,100,1
2022-10-24,,0
2022-10-27,,1
2022-10-28,,1
2022-11-05,,1
2022-11-06,100,-1
2022-11-25,100,1
2022-12-01,,1
2022-12-02,,1
2022-12-14,,1
