Date,share_amount,bs_signal
2017-11-30,2.4154912771860633,1
2017-12-11,2.4154912771860633,-1
2017-12-13,1.5935235823986915,1
2017-12-18,1.5935235823986915,-1
2017-12-26,1.472737146626846,1
2018-01-19,1.472737146626846,-1
2018-01-31,1.231580641932541,1
2018-02-14,1.231580641932541,-1
2018-02-20,1.1433203308654112,1
2018-03-08,1.1433203308654112,-1
2018-04-07,1.8816369398930057,1
2018-04-18,1.8816369398930057,-1
2018-04-24,1.2549686774496596,1
2018-05-03,1.2549686774496596,-1
2018-05-11,1.2956003781041496,1
2018-05-21,1.2956003781041496,-1
2018-06-10,1.5486297367492357,1
2018-06-16,1.5486297367492357,-1
2018-06-25,1.5128596256814648,1
2018-07-08,1.5128596256814648,-1
2018-07-12,1.5485044999048216,1
2018-07-16,1.5485044999048216,-1
2018-07-23,1.485785740462797,1
2018-07-26,1.485785740462797,-1
2018-08-16,2.1542170571438626,1
2018-08-27,2.1542170571438626,-1
2018-09-08,2.7972869617280023,1
2018-09-18,2.7972869617280023,-1
2018-10-11,2.7895890319903596,1
2018-10-25,2.7895890319903596,-1
2018-11-25,4.370566146968533,1
2018-12-01,4.370566146968533,-1
2018-12-16,5.473171566054934,1
2018-12-25,5.473171566054934,-1
2018-12-27,5.4865051118764345,1
2018-12-30,5.4865051118764345,-1
2019-02-05,6.42761552881515,1
2019-02-15,6.42761552881515,-1
2019-03-25,5.230893663670133,1
2019-04-23,5.230893663670133,-1
2019-04-28,5.131392008023903,1
2019-05-18,5.131392008023903,-1
2019-05-26,4.056695008491932,1
2019-05-29,4.056695008491932,-1
2019-06-12,3.770705967897444,1
2019-06-21,3.770705967897444,-1
2019-06-27,3.401046593036641,1
2019-07-07,3.401046593036641,-1
2019-07-25,4.260724002822255,1
2019-08-26,4.260724002822255,-1
2019-09-02,4.062176164295119,1
2019-09-23,4.062176164295119,-1
2019-10-06,4.265685866285239,1
2019-10-15,4.265685866285239,-1
2019-10-24,4.2945390587922665,1
2019-11-07,4.2945390587922665,-1
2019-11-22,4.834991643317437,1
2019-12-07,4.834991643317437,-1
2019-12-29,4.803897470178657,1
2020-01-21,4.803897470178657,-1
2020-01-22,4.3595510472006245,1
2020-02-11,4.3595510472006245,-1
2020-03-14,7.504781821028963,1
2020-04-07,7.504781821028963,-1
2020-04-26,5.651543634438522,1
2020-05-02,5.651543634438522,-1
2020-05-11,5.891086833285271,1
2020-06-01,5.891086833285271,-1
2020-07-20,5.545320137282891,1
2020-07-27,5.545320137282891,-1
2020-07-31,4.64357436613461,1
2020-08-13,4.64357436613461,-1
2020-08-22,4.526644431815722,1
2020-09-03,4.526644431815722,-1
2020-10-01,4.448452701667894,1
2020-10-26,4.448452701667894,-1
2020-11-01,3.978659223796856,1
2020-11-05,3.978659223796856,-1
2020-11-25,2.5980800727382425,1
2020-12-02,2.5980800727382425,-1
2020-12-06,2.324455369902708,1
2020-12-19,2.324455369902708,-1
2020-12-25,2.2018425030854782,1
2021-01-07,2.2018425030854782,-1
2021-01-20,1.7571588843825319,1
2021-02-21,1.7571588843825319,-1
2021-02-26,2.1168543862229576,1
2021-04-10,2.1168543862229576,-1
2021-04-23,1.7216764373073057,1
2021-05-12,1.7216764373073057,-1
2021-05-18,1.7355278529638325,1
2021-05-26,1.7355278529638325,-1
2021-06-27,2.2800988356921015,1
2021-07-11,2.2800988356921015,-1
2021-07-23,2.0664678179977347,1
2021-07-30,2.0664678179977347,-1
2021-08-09,1.4483317626966108,1
2021-08-16,1.4483317626966108,-1
2021-08-25,1.2758492355926823,1
2021-08-31,1.2758492355926823,-1
2021-09-07,1.1507235732882688,1
2021-09-18,1.1507235732882688,-1
2021-09-28,1.2661198313468214,1
2021-10-14,1.2661198313468214,-1
2021-12-01,0.9405280213557765,1
2021-12-02,0.9405280213557765,-1
2021-12-05,0.9095788440784146,1
2021-12-30,0.9095788440784146,-1
2022-01-06,0.8893721725205405,1
2022-01-11,0.8893721725205405,-1
2022-01-25,1.0553608418064397,1
2022-03-09,1.0553608418064397,-1
2022-03-17,0.9211189808519893,1
2022-03-30,0.9211189808519893,-1
2022-04-04,0.7969689538815784,1
2022-04-07,0.7969689538815784,-1
2022-04-13,0.7437080041893277,1
2022-05-13,0.7437080041893277,-1
2022-06-15,1.093349037884693,1
2022-06-26,1.093349037884693,-1
2022-07-06,0.994673276660549,1
2022-07-08,0.994673276660549,-1
2022-07-20,0.7199015614954213,1
2022-08-17,0.7199015614954213,-1
2022-08-29,0.7647088241661328,1
2022-09-10,0.7647088241661328,-1
2022-10-11,0.9553563872695547,1
2022-11-05,0.9553563872695547,-1
2022-11-29,1.150266453906185,1
2022-12-10,1.150266453906185,-1
