Date,share_amount,bs_signal,cash_earned,holding,bankroll,cumulative_percentage,close
2017-11-21,2.99666204312235,1,-1095.35,2.99666204312235,0,0,360.401001
2017-11-27,2.99666204312235,-1,1422.314320543882,0.0,1422.314320543882,29.8502141364753,480.355011
2017-11-29,3.0302824283294183,1,-1311.9430431476799,3.0302824283294183,110.37127739620223,-89.92365203850804,427.5230103
2017-12-01,3.0302824283294183,-1,1396.7292499208563,0.0,1507.1005273170585,37.59077256740391,466.5400085
2017-12-06,2.9687558988585465,1,-1288.6850568376026,2.9687558988585465,218.41547047945596,-80.05975528557484,428.5880127
2017-12-18,2.9687558988585465,-1,2337.361553693494,0.0,2555.77702417295,133.32971417108232,794.6450195
2017-12-28,2.880773531563199,1,-2143.7623621263965,2.880773531563199,412.01466204655344,-62.38511324722204,737.0230103
2018-01-31,2.880773531563199,-1,3195.5400279578384,0.0,3607.554690004392,229.3517770579625,1118.310059
2018-02-05,4.154214640813574,1,-2923.885407324487,4.154214640813574,683.6692826799049,-37.58439926234492,697.9509888
2018-02-15,4.154214640813574,-1,3862.9874747659405,0.0,4546.656757445846,315.08711895246694,936.9760132
2018-02-24,4.16787263054553,1,-3530.625322538485,4.16787263054553,1016.031434907361,-7.241389975134788,840.5150146
2018-03-01,4.16787263054553,-1,3607.0924664138074,0.0,4623.123901321169,322.06818837094715,872.2000122
2018-04-07,8.49098849859444,1,-3298.0051868053147,8.49098849859444,1325.1187145158542,20.97673935416573,385.3139954
2018-05-06,8.49098849859444,-1,6683.915851551291,0.0,8009.034566067145,631.184969741831,792.3109741
2018-05-11,8.909472892199283,1,-6094.9767967117,8.909472892199283,1914.0577693554442,74.74394206011269,679.5859985
2018-05-14,8.909472892199283,-1,6466.3125786508435,0.0,8380.370348006287,665.0860773274558,730.5490112
2018-05-28,11.351777451717386,1,-5897.165580291143,11.351777451717386,2483.204767715144,126.7042285767238,516.0360107
2018-06-19,11.351777451717386,-1,6066.283965289009,0.0,8549.488733004153,680.5257436439634,537.9569702
2018-06-26,12.69973792953413,1,-5533.521478998902,12.69973792953413,3015.9672540052507,175.34279034146627,432.7720032
2018-07-06,12.69973792953413,-1,5979.778951177882,0.0,8995.746205183132,721.2668284277293,474.0119934
2018-07-11,12.133542694698367,1,-5454.884508884817,12.133542694698367,3540.861696298315,223.26303887326566,446.5180054
2018-07-18,12.133542694698367,-1,5791.223381889746,0.0,9332.085078188062,751.9728925172832,480.5130005
2018-07-22,11.415669420828564,1,-5283.47896876309,11.415669420828564,4048.6061094249717,269.6175751517754,459.6570129
2018-07-28,11.415669420828564,-1,5293.353572133274,0.0,9341.959681558244,752.8743946280408,466.8980103
2018-08-13,16.743601413596455,1,-4830.8927949693925,16.743601413596455,4511.066886588852,311.83794098588146,286.4949951
2018-08-15,16.743601413596455,-1,4694.201546441408,0.0,9205.26843303026,740.3951643794459,282.3640137
