Date,share_amount,bs_signal
2021-12-12,,1
2021-12-18,,1
2021-12-20,,1
2021-12-26,200,-1
2021-12-27,,-1
2021-12-30,,-1
2022-01-06,200,1
2022-01-11,200,-1
2022-01-23,200,1
2022-01-30,,1
2022-02-01,,1
2022-02-09,200,-1
2022-02-14,,-1
2022-02-23,200,1
2022-03-05,,1
2022-03-06,,1
2022-03-09,,1
2022-03-20,,1
2022-03-22,,1
2022-03-28,,1
2022-03-29,,1
2022-04-07,200,-1
2022-04-12,200,1
2022-04-25,,1
2022-04-28,,1
2022-04-30,200,-1
2022-05-04,200,1
2022-05-12,,1
2022-05-16,,1
2022-05-18,200,-1
2022-05-22,,-1
2022-05-24,200,1
2022-05-25,,1
2022-06-01,200,-1
2022-06-05,,0
2022-06-12,200,1
2022-06-24,,1
2022-06-29,,1
2022-07-03,,1
2022-07-07,,1
2022-07-15,,1
2022-07-22,,1
2022-07-29,,1
2022-08-02,,1
2022-08-16,200,-1
2022-08-17,,-1
2022-08-18,,-1
2022-08-21,200,1
2022-08-24,,1
2022-08-25,,1
2022-08-26,200,-1
2022-09-05,200,1
2022-09-06,,1
2022-09-21,,1
2022-09-22,,1
2022-09-24,,1
2022-10-09,200,-1
2022-10-10,200,1
2022-10-17,,1
2022-10-20,,1
2022-10-29,,1
2022-11-03,,1
2022-11-04,,1
2022-11-09,,1
2022-11-12,200,-1
2022-11-21,200,1
2022-11-22,,1
2022-11-23,,1
2022-11-27,,1
2022-11-30,,1
2022-12-05,200,-1
2022-12-08,200,1
2022-12-13,,1
2022-12-14,,1
