iter	Passed	Remaining
481	49851	53574
482	49939	53454
483	50053	53362
484	50145	53247
485	50243	53137
486	50348	53036
487	50444	52924
488	50558	52833
489	50671	52739
490	50772	52633
491	50868	52522
492	50969	52416
493	51092	52333
494	51201	52235
495	51301	52128
496	51406	52026
497	51502	51916
498	51619	51826
499	51716	51716
500	51803	51597
501	51900	51487
502	52000	51380
503	52104	51277
504	52212	51178
505	52315	51074
506	52409	50962
507	52502	50848
508	52593	50733
509	52693	50626
510	52787	50515
511	52895	50416
512	52996	50310
513	53093	50201
514	53190	50092
515	53278	49973
516	53371	49861
517	53464	49748
518	53561	49639
519	53669	49541
520	53767	49433
521	53877	49335
522	53980	49232
523	54077	49124
524	54179	49019
525	54276	48910
526	54375	48803
527	54464	48687
528	54568	48585
529	54660	48472
530	54746	48354
531	54845	48247
532	54942	48138
533	55045	48035
534	55165	47947
535	55267	47843
536	55363	47734
537	55468	47632
538	55578	47535
539	55673	47425
540	55764	47312
541	55862	47205
542	55961	47098
543	56058	46990
544	56162	46888
545	56268	46787
546	56358	46673
547	56457	46567
548	56567	46469
549	56662	46360
550	56766	46258
551	56874	46158
552	56974	46053
553	57073	45947
554	57186	45852
555	57270	45734
556	57382	45637
557	57484	45534
558	57580	45425
559	57680	45320
560	57783	45217
561	57881	45110
562	57996	45016
563	58119	44928
564	58224	44827
565	58316	44715
566	58424	44616
567	58525	44512
568	58627	44408
569	58728	44303
570	58834	44203
571	58938	44100
572	59046	44001
573	59163	43908
574	59273	43811
575	59362	43697
576	59454	43586
577	59559	43484
578	59668	43385
579	59770	43281
580	59855	43165
581	59950	43057
582	60047	42949
583	60154	42849
584	60268	42754
585	60372	42652
586	60481	42553
587	60573	42442
588	60674	42338
589	60784	42240
590	60877	42130
591	60968	42018
592	61057	41906
593	61159	41802
594	61272	41706
595	61362	41594
596	61451	41482
597	61545	41373
598	61654	41274
599	61761	41174
600	61850	41062
601	61946	40954
602	62038	40844
603	62139	40740
604	62254	40645
605	62355	40541
606	62446	40430
607	62538	40321
608	62634	40213
609	62754	40121
610	62850	40014
611	62948	39908
612	63036	39796
613	63143	39695
614	63243	39591
615	63338	39484
616	63423	39370
617	63542	39277
618	63636	39169
619	63758	39077
620	63859	38973
621	63960	38869
622	64051	38759
623	64135	38645
624	64248	38548
625	64346	38443
626	64439	38334
627	64548	38235
628	64649	38131
629	64760	38034
630	64885	37944
631	64994	37845
632	65080	37732
633	65187	37631
634	65282	37524
635	65387	37423
636	65496	37323
637	65600	37221
638	65697	37115
639	65805	37015
640	65934	36927
641	66026	36818
642	66133	36717
643	66244	36619
644	66342	36514
645	66452	36414
646	66554	36311
647	66641	36200
648	66755	36103
649	66835	35988
650	66927	35879
651	67046	35785
652	67142	35679
653	67249	35578
654	67345	35472
655	67453	35372
656	67562	35272
657	67674	35174
658	67787	35076
659	67886	34971
660	67993	34871
661	68085	34762
662	68195	34663
663	68299	34561
664	68398	34456
665	68486	34346
666	68575	34236
667	68689	34139
668	68793	34036
669	68904	33937
670	69021	33842
671	69115	33735
672	69232	33638
673	69332	33534
674	69424	33426
675	69512	33316
676	69616	33214
677	69732	33117
678	69842	33018
679	69929	32907
680	70028	32803
681	70126	32698
682	70247	32604
683	70346	32499
684	70435	32390
685	70538	32287
686	70636	32182
687	70738	32078
688	70847	31978
689	70935	31869
690	71042	31768
691	71147	31666
692	71255	31566
693	71372	31469
694	71472	31365
695	71589	31268
696	71677	31159
697	71800	31065
698	71907	30964
699	71998	30856
700	72106	30755
701	72205	30651
702	72297	30543
703	72393	30438
704	72496	30335
705	72594	30230
706	72697	30127
707	72796	30023
708	72892	29917
709	72980	29809
710	73096	29711
711	73188	29604
712	73292	29501
713	73398	29400
714	73493	29294
715	73586	29188
716	73690	29085
717	73788	28980
718	73876	28872
719	73992	28775
720	74095	28672
721	74204	28571
722	74317	28473
723	74430	28374
724	74527	28268
725	74629	28165
726	74748	28069
727	74838	27961
728	74951	27862
729	75043	27755
730	75140	27650
731	75255	27552
732	75364	27452
733	75468	27349
734	75562	27243
735	75656	27137
736	75775	27040
737	75868	26934
738	75953	26825
739	76054	26721
740	76157	26619
741	76283	26524
742	76365	26414
743	76461	26309
744	76558	26204
745	76660	26101
746	76781	26005
747	76888	25903
748	76979	25796
749	77072	25690
750	77162	25583
751	77275	25484
752	77374	25380
753	77465	25273
754	77563	25169
755	77676	25070
756	77798	24973
757	77897	24869
758	77984	24761
759	78086	24658
760	78194	24557
761	78325	24463
