git sBuy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Class Weight: {0: 1.1, -1: 1.3, 1: 1}
--------------------------------------------------
Highest % gain: ('FSLR', {'final_portfolio_value': 33111.99455356214, 'Portfolio cumulative percent gain': 231.11994553562138, 'Stock percent gain': 199.9727744290788, 'total_trades': 115, 'winning_trades': 62, 'losing_trades': 52, 'sharpe_ratio': 3.0887389865872876})
Lowest % gain: ('DG', {'final_portfolio_value': 4022.8921774534624, 'Portfolio cumulative percent gain': -59.771078225465374, 'Stock percent gain': -46.01742723861949, 'total_trades': 99, 'winning_trades': 42, 'losing_trades': 57, 'sharpe_ratio': -1.515082083182573})
Number of stocks with a positive gain 298
Number of stocks with a negative gain 199
Win/Loss Ratio: 1.02
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
MPWR: {'final_portfolio_value': 27757.690086759834, 'Portfolio cumulative percent gain': 177.57690086759834, 'Stock percent gain': 131.1736608025919, 'total_trades': 134, 'winning_trades': 72, 'losing_trades': 61, 'sharpe_ratio': 0.835509189149196}
FFIV: {'final_portfolio_value': 13356.865214456919, 'Portfolio cumulative percent gain': 33.568652144569185, 'Stock percent gain': -12.099644155331445, 'total_trades': 120, 'winning_trades': 70, 'losing_trades': 49, 'sharpe_ratio': 2.093063430417266}
INCY: {'final_portfolio_value': 13311.543905643879, 'Portfolio cumulative percent gain': 33.11543905643879, 'Stock percent gain': -12.178365225256252, 'total_trades': 124, 'winning_trades': 62, 'losing_trades': 62, 'sharpe_ratio': 0.9622609446067316}
AES: {'final_portfolio_value': 12406.949963443685, 'Portfolio cumulative percent gain': 24.069499634436852, 'Stock percent gain': -20.902931108374528, 'total_trades': 125, 'winning_trades': 63, 'losing_trades': 61, 'sharpe_ratio': 0.359508368765674}
KMX: {'final_portfolio_value': 11760.254518552227, 'Portfolio cumulative percent gain': 17.602545185522267, 'Stock percent gain': -26.554544622247874, 'total_trades': 143, 'winning_trades': 73, 'losing_trades': 69, 'sharpe_ratio': 0.4597871280783792}
DIS: {'final_portfolio_value': 11068.702199409683, 'Portfolio cumulative percent gain': 10.687021994096831, 'Stock percent gain': -32.099838463550185, 'total_trades': 136, 'winning_trades': 66, 'losing_trades': 69, 'sharpe_ratio': 0.28271753193982674}
PODD: {'final_portfolio_value': 12688.017068456156, 'Portfolio cumulative percent gain': 26.880170684561563, 'Stock percent gain': -15.768247186695906, 'total_trades': 124, 'winning_trades': 60, 'losing_trades': 63, 'sharpe_ratio': 0.45288982968062774}
USB: {'final_portfolio_value': 12007.526259022587, 'Portfolio cumulative percent gain': 20.07526259022587, 'Stock percent gain': -22.4517915021053, 'total_trades': 125, 'winning_trades': 65, 'losing_trades': 60, 'sharpe_ratio': 1.3749466023757988}
BAX: {'final_portfolio_value': 8380.060295041849, 'Portfolio cumulative percent gain': -16.199397049581513, 'Stock percent gain': -58.54144655787645, 'total_trades': 139, 'winning_trades': 74, 'losing_trades': 65, 'sharpe_ratio': -0.4523045897660184}
PARA: {'final_portfolio_value': 7641.578667582384, 'Portfolio cumulative percent gain': -23.58421332417616, 'Stock percent gain': -64.99848488144241, 'total_trades': 139, 'winning_trades': 72, 'losing_trades': 66, 'sharpe_ratio': -0.4698156559317698}
ALB: {'final_portfolio_value': 8498.41326795826, 'Portfolio cumulative percent gain': -15.015867320417401, 'Stock percent gain': -54.628326803417906, 'total_trades': 121, 'winning_trades': 62, 'losing_trades': 58, 'sharpe_ratio': -0.05334218089248348}
CHRW: {'final_portfolio_value': 12535.876456877224, 'Portfolio cumulative percent gain': 25.35876456877224, 'Stock percent gain': -13.362148161964498, 'total_trades': 124, 'winning_trades': 63, 'losing_trades': 60, 'sharpe_ratio': 0.49123875998597266}
BEN: {'final_portfolio_value': 11331.799189232084, 'Portfolio cumulative percent gain': 13.317991892320844, 'Stock percent gain': -24.623755169476745, 'total_trades': 131, 'winning_trades': 73, 'losing_trades': 58, 'sharpe_ratio': 0.8350743342381052}
WBD: {'final_portfolio_value': 6918.618936096486, 'Portfolio cumulative percent gain': -30.813810639035136, 'Stock percent gain': -68.5082861478224, 'total_trades': 124, 'winning_trades': 57, 'losing_trades': 67, 'sharpe_ratio': -0.7679237798921428}
EQR: {'final_portfolio_value': 11752.996789290368, 'Portfolio cumulative percent gain': 17.529967892903677, 'Stock percent gain': -20.080997408803906, 'total_trades': 123, 'winning_trades': 71, 'losing_trades': 51, 'sharpe_ratio': 0.4293993963573122}
ADM: {'final_portfolio_value': 12141.892907045758, 'Portfolio cumulative percent gain': 21.41892907045758, 'Stock percent gain': -15.503157174575485, 'total_trades': 73, 'winning_trades': 43, 'losing_trades': 29, 'sharpe_ratio': 2.138608198673855}
EPAM: {'final_portfolio_value': 8509.662050754821, 'Portfolio cumulative percent gain': -14.903379492451785, 'Stock percent gain': -51.65260993805914, 'total_trades': 88, 'winning_trades': 49, 'losing_trades': 39, 'sharpe_ratio': -0.2840630832125881}
DVA: {'final_portfolio_value': 16361.494298427731, 'Portfolio cumulative percent gain': 63.61494298427731, 'Stock percent gain': 26.99392784369053, 'total_trades': 137, 'winning_trades': 74, 'losing_trades': 62, 'sharpe_ratio': 2.3289431481029883}
FIS: {'final_portfolio_value': 10057.05304040308, 'Portfolio cumulative percent gain': 0.5705304040307965, 'Stock percent gain': -35.843271962631825, 'total_trades': 128, 'winning_trades': 63, 'losing_trades': 64, 'sharpe_ratio': -0.015318517033977465}
TXN: {'final_portfolio_value': 15192.724981199553, 'Portfolio cumulative percent gain': 51.92724981199554, 'Stock percent gain': 16.126128196382503, 'total_trades': 115, 'winning_trades': 64, 'losing_trades': 50, 'sharpe_ratio': 1.1545860592622341}
STZ: {'final_portfolio_value': 13850.058329721893, 'Portfolio cumulative percent gain': 38.50058329721893, 'Stock percent gain': 3.033257178369712, 'total_trades': 95, 'winning_trades': 51, 'losing_trades': 44, 'sharpe_ratio': 0.8694494569670019}
BBY: {'final_portfolio_value': 12577.797848981743, 'Portfolio cumulative percent gain': 25.777978489817436, 'Stock percent gain': -8.889799630719795, 'total_trades': 98, 'winning_trades': 53, 'losing_trades': 45, 'sharpe_ratio': 0.757166556350343}
WEC: {'final_portfolio_value': 11811.096157084861, 'Portfolio cumulative percent gain': 18.110961570848612, 'Stock percent gain': -15.05643674171685, 'total_trades': 121, 'winning_trades': 70, 'losing_trades': 50, 'sharpe_ratio': 0.5829898449715155}
LH: {'final_portfolio_value': 12530.375610498997, 'Portfolio cumulative percent gain': 25.30375610498997, 'Stock percent gain': -7.62301894351458, 'total_trades': 115, 'winning_trades': 64, 'losing_trades': 51, 'sharpe_ratio': 0.7457981531490065}
ARE: {'final_portfolio_value': 9910.008103762417, 'Portfolio cumulative percent gain': -0.899918962375832, 'Stock percent gain': -33.61468771965297, 'total_trades': 121, 'winning_trades': 54, 'losing_trades': 67, 'sharpe_ratio': -0.3614176358881661}
MTCH: {'final_portfolio_value': 6371.439925981285, 'Portfolio cumulative percent gain': -36.28560074018715, 'Stock percent gain': -68.4947816674355, 'total_trades': 135, 'winning_trades': 67, 'losing_trades': 68, 'sharpe_ratio': -0.47378596048393595}
D: {'final_portfolio_value': 9725.828601208004, 'Portfolio cumulative percent gain': -2.741713987919957, 'Stock percent gain': -34.809967488178806, 'total_trades': 109, 'winning_trades': 60, 'losing_trades': 48, 'sharpe_ratio': -0.11614350271282492}
TSN: {'final_portfolio_value': 9681.920365245429, 'Portfolio cumulative percent gain': -3.180796347545711, 'Stock percent gain': -34.81928112554708, 'total_trades': 115, 'winning_trades': 62, 'losing_trades': 52, 'sharpe_ratio': -0.2678814292832208}
CZR: {'final_portfolio_value': 9933.498702232513, 'Portfolio cumulative percent gain': -0.665012977674869, 'Stock percent gain': -32.2232552461846, 'total_trades': 75, 'winning_trades': 36, 'losing_trades': 39, 'sharpe_ratio': -0.223859176077107}
BWA: {'final_portfolio_value': 11842.214291296985, 'Portfolio cumulative percent gain': 18.42214291296985, 'Stock percent gain': -13.055789138142206, 'total_trades': 134, 'winning_trades': 73, 'losing_trades': 61, 'sharpe_ratio': 0.44457763044900545}
FSLR: {'final_portfolio_value': 33111.99455356214, 'Portfolio cumulative percent gain': 231.11994553562138, 'Stock percent gain': 199.9727744290788, 'total_trades': 115, 'winning_trades': 62, 'losing_trades': 52, 'sharpe_ratio': 3.0887389865872876}
FTNT: {'final_portfolio_value': 14270.293892584146, 'Portfolio cumulative percent gain': 42.702938925841465, 'Stock percent gain': 11.990341928193756, 'total_trades': 107, 'winning_trades': 58, 'losing_trades': 48, 'sharpe_ratio': 2.8138391417271276}
